C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST11:14:12

Vmag <  6 & cat = '*' & pm  > 0 & plx  > 0 & radvel  > 0
--------------------------------------------------------

Number of objects : 1518

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm         ;   plx    ;  radvel  ;  Mag V  
555 ;* r Pup                            ;Be*;123.3729883200 -35.8995183961      ;     -7.30 9.75    ;3.51      ;35.00     ;4.77     
556 ;* h01 Pup                          ;LP*;122.8395559592600 -39.6185441098400;   -9.072 3.211    ;2.3831    ;16.20     ;4.42     
557 ;* lam Cnc                          ;*  ;125.1339014739700 +24.0223111489000;-20.843 -18.970    ;5.7362    ;23.00     ;5.930    
558 ;* d01 Cnc                          ;PM*;125.8410119606600 +18.3321617925800;-51.953 -19.416    ;8.7606    ;35.8      ;5.940    
559 ;* bet Cnc                          ;PM*;124.1288375337 +09.1855438678      ;  -46.82 -49.24    ;10.75     ;22.94     ;3.520    
560 ;* 1 Hya                            ;SB*;126.1458924388800 -03.7512424922400;-212.044 -25.969   ;36.9674   ;71.8      ;5.61     
561 ;* 30 Mon                           ;PM*;126.4151333783 -03.9064216167      ;  -66.43 -23.41    ;26.66     ;10.00     ;3.90     
562 ;* w Pup                            ;*  ;125.3459417878300 -33.0543650790700;  -11.721 3.316    ;2.5049    ;33.2      ;4.80     
563 ;* q Pup                            ;PM*;124.6388041308 -36.6592886403      ; -110.33 100.48    ;34.93     ;6.40      ;4.40     
564 ;* 33 Lyn                           ;*  ;128.6828526858800 +36.4196200621600;-25.927 -40.692    ;10.3145   ;24.9      ;5.751    
565 ;* phi01 Cnc                        ;PM*;126.6154418321400 +27.8935806447700;-33.427 -115.457   ;7.5571    ;25.18     ;5.57     
566 ;* ups01 Cnc                        ;PM*;127.8771644945300 +24.0811077030200;-80.791 -44.858    ;13.618    ;19.00     ;5.694    
567 ;* eta Cnc                          ;PM*;128.1770675107100 +20.4411622410200;-46.573 -44.296    ;10.258    ;22.34     ;5.325    
568 ;* tet Cnc                          ;PM*;127.8988748342500 +18.0944181729600;-59.639 -56.615    ;7.5577    ;44.60     ;5.337    
569 ;* 29 Cnc                           ;*  ;127.1555813168400 +14.2108242442400;-13.849 -12.252    ;9.0325    ;2.00      ;5.948    
570 ;* c Cnc                            ;*  ;129.2740369352100 +09.6555780897200; -28.308 -3.883    ;6.6793    ;16.5      ;5.910    
571 ;* 2 Hya                            ;dS*;126.6133676992 -03.9874777550      ;  -34.75 -73.26    ;19.99     ;28.60     ;5.590    
572 ;* 3 Hya                            ;a2*;128.8674949576700 -07.9822938393800; -21.240 15.334    ;9.6283    ;24.60     ;5.72     
573 ;* 1 LMi                            ;*  ;129.5790881170200 +32.8020168275800; -24.186 -4.173    ;8.4547    ;4.52      ;5.950    
574 ;* iot Cnc                          ;PM*;131.6742518185500 +28.7598931360400;-22.070 -43.699    ;9.4124    ;15.74     ;4.018    
575 ;* gam Cnc                          ;PM*;130.8214508296 +21.4685002203      ; -103.51 -39.48    ;18.00     ;28.7      ;4.652    
576 ;* del Cnc                          ;** ;131.1712467108 +18.1543064986      ; -17.67 -229.26    ;24.98     ;17.14     ;3.94     
577 ;* 50 Cnc                           ;PM*;131.7334124645200 +12.1099528000500;-63.575 -50.654    ;17.9753   ;23.3      ;5.885    
578 ;* b Cnc                            ;a2*;131.1876487853200 +10.0816686904800;-14.686 -18.466    ;6.5062    ;27.50     ;5.66     
579 ;* eps Hya                          ;Ro*;131.69380097 +06.41880152          ; -228.11 -43.82    ;25.23     ;40.46     ;3.38     
580 ;* del Hya                          ;** ;129.4140311366300 +05.7037877622300; -68.867 -7.551    ;18.4301   ;11.30     ;4.131    
581 ;* rho Hya                          ;*  ;132.1082107329 +05.8378134256      ;  -17.33 -29.41    ;9.21      ;32.8      ;4.337    
582 ;* sig Hya                          ;*  ;129.6893227704 +03.3414361381      ;  -19.48 -15.92    ;8.75      ;27.06     ;4.43     
583 ;* eta Hya                          ;bC*;130.8061458029 +03.3986629753      ;   -19.39 -1.08    ;5.56      ;16.10     ;4.300    
584 ;* F Hya                            ;*  ;130.9182227138 -07.2337311914      ;   -11.62 -1.36    ;4.24      ;27.68     ;4.625    
585 ;* eta Pyx                          ;*  ;129.4673032981200 -26.2550001261100;-23.876 -12.407    ;13.2198   ;31.00     ;5.27     
586 ;* alf Pyx                          ;V* ;130.8980731433 -33.1863860522      ;   -14.27 10.43    ;3.71      ;15.3      ;3.68     
587 ;* sig02 Cnc                        ;PM*;134.2358236619700 +32.9104279426800;-53.031 -66.186    ;17.0377   ;5.3       ;5.436    
588 ;* sig03 Cnc                        ;PM*;134.8860607498400 +32.4185593067800;-43.741 -34.754    ;10.7481   ;21.32     ;5.220    
589 ;* rho02 Cnc                        ;*  ;133.9153353855200 +27.9274821811300;-13.014 -32.535    ;5.5719    ;16.55     ;5.225    
590 ;* 60 Cnc                           ;V* ;133.9814460193000 +11.6260247243300;-15.525 -12.905    ;3.6191    ;25.38     ;5.440    
591 ;* zet Hya                          ;PM*;133.8484422300 +05.9455653833      ;  -100.06 15.46    ;19.51     ;22.30     ;3.10     
592 ;* 14 Hya                           ;a2*;132.3405243457800 -03.4430253995300;-20.146 -22.776    ;7.5954    ;31.30     ;5.31     
593 ;* gam Pyx                          ;PM*;132.6330117588 -27.7098450300      ;  -134.31 87.89    ;15.73     ;24.50     ;4.01     
594 ;* del Pyx                          ;PM*;133.8815300704900 -27.6818482123900;82.731 -101.976    ;14.0808   ;5.40      ;4.89     
595 ;* lam Gru                          ;PM*;331.5286903450 -39.5433516250      ; -23.80 -124.58    ;13.47     ;38.80     ;4.458    
596 ;* mu.02 Gru                        ;*  ;334.1106323080000 -41.6271817018100;-17.666 -13.765    ;14.508    ;15.90     ;5.117    
597 ;* sig02 Gru                        ;PM*;339.2452223085400 -40.5910350287800; 43.533 -69.825    ;14.2337   ;15.0      ;5.874    
598 ;* rho Gru                          ;PM*;340.8749022675 -41.4143463050      ;   10.11 -93.79    ;14.16     ;30.89     ;4.835    
599 ;* tet Gru                          ;** ;346.71971026 -43.52035715          ;  -47.17 -13.49    ;24.73     ;9.6       ;4.332    
600 ;* iot Phe                          ;a2*;353.7690015235300 -42.6151397988700;   47.072 8.543    ;12.3056   ;19.4      ;4.71     
601 ;* alf Phe                          ;SB*;006.57104752 -42.30598719          ; 233.05 -356.30    ;38.50     ;74.6      ;2.38     
602 ;* kap Phe                          ;PM*;006.5508389318483 -43.6798306587444; 106.394 32.491    ;41.7228   ;11.3      ;3.94     
603 ;* ups Phe                          ;** ;016.9492638660800 -41.4868431356900;   53.687 1.376    ;14.4232   ;9.00      ;5.207    
604 ;* eta03 For                        ;PM*;042.6683616032200 -35.6758499667100;  4.093 -54.551    ;6.6631    ;13.57     ;5.472    
605 ;* eta02 For                        ;PM*;042.5615986003900 -35.8436175628700;  51.003 18.217    ;7.6745    ;21.60     ;5.92     
606 ;* 2 PsA                            ;*  ;316.6028220699300 -32.3416189584500;   -5.949 7.786    ;9.2085    ;3.1       ;5.196    
607 ;* gam Mic                          ;*  ;315.3227519696 -32.2577659353      ;     -1.73 0.41    ;14.24     ;17.50     ;4.654    
608 ;* eps Mic                          ;PM*;319.4845166421 -32.1725420889      ;   54.36 -23.29    ;17.90     ;7.20      ;4.708    
609 ;* 6 PsA                            ;V* ;323.0607073458499 -33.9446259828500;  -5.215 -3.775    ;6.3173    ;15.70     ;5.958    
610 ;* gam Gru                          ;PM*;328.4821924842 -37.3648552706      ;   98.07 -13.22    ;15.45     ;0.10      ;3.01     
611 ;* nu. Gru                          ;PM*;337.1633760344000 -39.1317906400300;37.014 -159.351    ;11.7446   ;10.6      ;5.473    
612 ;* phi Gru                          ;PM*;349.5411835227899 -40.8243619649900;127.378 -122.603   ;29.1514   ;15.15     ;5.537    
613 ;* phi For                          ;*  ;037.0070966559600 -33.8110395407400;   18.759 5.426    ;20.9663   ;19.00     ;5.123    
614 ;* lam01 For                        ;HB*;038.2792746023500 -34.6499672207800;-18.216 -18.058    ;8.5123    ;10.29     ;5.889    
615 ;* lam02 For                        ;PM*;039.2441989557400 -34.5779753462400;-18.363 -259.002   ;39.2946   ;11.149    ;5.79     
616 ;* bet For                          ;RG*;042.2725787677200 -32.4058977796900; 86.023 159.404    ;18.4596   ;17.82     ;4.46     
617 ;* del Mic                          ;HB*;316.5047417921100 -30.1251453377400; 47.229 -64.071    ;11.1843   ;22.81     ;5.687    
618 ;* iot PsA                          ;PM*;326.2367059875 -33.0257827850      ;   31.10 -94.56    ;15.97     ;3.00      ;4.34     
619 ;* ups PsA                          ;*  ;332.1080471675 -34.0438402158      ;    4.55 -49.02    ;7.69      ;20.36     ;4.99     
620 ;* bet Scl                          ;PM*;353.2427457450 -37.8182658333      ;    95.97 38.29    ;18.74     ;0.40      ;4.37     
621 ;* lam02 Scl                        ;PM*;011.0504126363100 -38.4216817244200;245.567 119.038    ;9.853     ;28.32     ;5.96     
622 ;* iot01 For                        ;*  ;039.0386033101100 -30.0449783259800; -17.457 -6.236    ;5.0717    ;3.77      ;5.729    
623 ;* iot02 For                        ;PM*;039.5777557365000 -30.1940640716300; 97.193 -74.530    ;28.4867   ;30.36     ;5.829    
624 ;* tet PsA                          ;** ;326.9339580446 -30.8983062925      ;   -34.40 -0.08    ;10.16     ;12.80     ;5.017    
625 ;* mu. PsA                          ;PM*;332.0958805922600 -32.9884699078400; 74.256 -25.790    ;27.0888   ;11.6      ;4.50     
626 ;* bet PsA                          ;PM*;337.8763765937 -32.3460737075      ;   59.12 -18.83    ;22.84     ;5.50      ;4.29     
627 ;* gam PsA                          ;*  ;343.1313756551800 -32.8754604893100;-30.953 -33.890    ;14.634    ;16.5      ;4.51     
628 ;* gam PsA B                        ;*  ;343.1300712301600 -32.8757587960300;-30.131 -30.860    ;14.4163   ;19.83     ;5.023    
629 ;* pi. Scl                          ;PM*;025.5359555723600 -32.3269875461300; -82.704 -4.233    ;15.9813   ;13.83     ;5.256    
630 ;* pi. For                          ;PM*;030.3113452775500 -30.0018303536800;-109.489 -108.749  ;11.2737   ;24.40     ;5.35     
631 ;* mu. For                          ;*  ;033.2269583234200 -30.7238260436300;   14.425 6.616    ;10.2162   ;10.00     ;5.260    
632 ;* ome For                          ;*  ;038.4612562412000 -28.2323376583600; -13.843 -3.790    ;6.7146    ;9.7       ;4.96     
633 ;* gam02 For                        ;PM*;042.4757609867500 -27.9419831860100;  46.677 21.962    ;5.9777    ;24.00     ;5.377    
634 ;* 24 Cap                           ;PM*;316.7819471954 -25.0058552892      ;  -28.09 -44.14    ;7.15      ;32.10     ;4.50     
635 ;* gam Scl                          ;PM*;349.7060031792 -32.5320247125      ;   20.13 -77.72    ;17.90     ;15.6      ;4.406    
636 ;* mu. Scl                          ;PM*;355.1589533192700 -32.0731241800600;-91.263 -53.561    ;11.2737   ;15.79     ;5.303    
637 ;* eta Scl                          ;LP*;006.9820742557300 -33.0071659671300;-20.070 -49.425    ;5.8984    ;12.10     ;4.81     
638 ;* nu. For                          ;a2*;031.1226608629 -29.2968188200      ;     12.79 8.48    ;8.79      ;18.5      ;4.69     
639 ;* 6 Eri                            ;PM*;044.5238874150700 -23.6060104279300;  70.357 52.549    ;5.0201    ;7.4       ;5.809    
640 ;* 4 Eri                            ;PM*;044.3490272798100 -23.8621655716100;101.712 -36.599    ;20.5406   ;28.8      ;5.45     
641 ;* zet For                          ;PM*;044.9007610479800 -25.2741333791700; 181.303 84.300    ;30.0184   ;29.09     ;5.686    
642 ;* eps PsA                          ;Be*;340.1639510683900 -27.0436152921400;  21.839 -1.588    ;5.9219    ;1.10      ;4.177    
643 ;* 21 PsA                           ;*  ;342.8372436159399 -29.5363065769700; -8.668 -13.383    ;10.5194   ;3.97      ;5.987    
644 ;* alf PsA                          ;** ;344.41269272 -29.62223703          ; 328.95 -164.67    ;129.81    ;6.50      ;1.16     
645 ;* del Scl                          ;PM*;357.23144407 -28.13027069          ; 100.80 -105.34    ;23.73     ;8.70      ;4.57     
646 ;* zet Scl                          ;SB*;000.5830294271700 -29.7204412546300;   9.181 15.079    ;4.8234    ;8.60      ;5.022    
647 ;* iot Scl                          ;RG*;005.3799927402400 -28.9814702063600; 33.034 -72.244    ;9.5724    ;20.894    ;5.167    
648 ;* alf Scl                          ;Ro*;014.6514970954 -29.3574513094      ;     20.13 5.31    ;4.20      ;9.60      ;4.27     
649 ;* kap For                          ;PM*;035.6357936203100 -23.8167999619800;  162.321 5.038    ;42.9117   ;18.33     ;5.198    
650 ;* eta Cap                          ;** ;316.1012555167 -19.8549919628      ;  -37.62 -24.95    ;20.20     ;23.8      ;4.84     
651 ;* zet Cap                          ;SB*;321.6667764125 -22.4113344992      ;    -2.23 18.10    ;8.46      ;2.10      ;3.74     
652 ;* 33 Cap                           ;PM*;321.0399716622800 -20.8518699028600;-7.726 -127.824    ;12.7846   ;22.10     ;5.366    
653 ;* 35 Cap                           ;*  ;321.8117570828900 -21.1962143453500;-29.553 -30.168    ;6.1782    ;29.88     ;5.760    
654 ;* eps Scl                          ;** ;026.4114880088 -25.0526117378      ;  159.36 -73.17    ;35.57     ;13.10     ;5.31     
655 ;* 56 Cet                           ;PM*;029.1675109188400 -22.5267846855000; 60.374 -24.635    ;7.329     ;27.38     ;4.85     
656 ;* 37 Cap                           ;PM*;323.7127176319100 -20.0842608060600; -33.742 30.369    ;36.3561   ;3.27      ;5.696    
657 ;* 47 Aqr                           ;RG*;335.3982005738900 -21.5982301141100;-10.986 -84.834    ;17.3475   ;49.42     ;5.124    
658 ;* c01 Aqr                          ;** ;346.6701988318000 -23.7429900192700; 61.661 -34.184    ;17.2892   ;15.2      ;4.47     
659 ;* ups Cet                          ;PM*;030.0012881737 -21.0778318253      ;  134.92 -24.59    ;11.14     ;18.00     ;4.02     
660 ;* tau01 Eri                        ;PM*;041.2758283362062 -18.5726228277553; 318.568 48.171    ;70.0459   ;25.90     ;4.46     
661 ;* iot Cap                          ;BY*;320.5616485325 -16.8345443886      ;     30.00 4.52    ;16.58     ;12.271    ;4.27     
662 ;* g Aqr                            ;V* ;340.8968044433 -18.8303765794      ;  -31.73 -28.54    ;7.53      ;21.70     ;4.69     
663 ;* 68 Aqr                           ;PM*;341.8880142930500 -19.6133747513500;-103.254 -206.394  ;12.1682   ;25.11     ;5.26     
664 ;* c02 Aqr                          ;PM*;347.3616501872496 -21.1724152050081;  53.452 30.201    ;12.6710   ;21.30     ;3.64     
665 ;* b02 Aqr                          ;PM*;351.5116069179 -20.6420175092      ;  -50.72 -64.22    ;11.51     ;15.7      ;4.39     
666 ;* b03 Aqr                          ;** ;353.31926250 -20.91450430          ;     -3.41 8.46    ;11.11     ;15.00     ;4.758    
667 ;* 103 Aqr                          ;PM*;355.3937023290500 -18.0270743538200;-41.339 -71.292    ;4.3092    ;25.1      ;5.344    
668 ;* 104 Aqr                          ;*  ;355.4408599010500 -17.8165319464100;   14.332 0.679    ;4.5743    ;6.52      ;4.83     
669 ;* i01 Aqr                          ;*  ;356.0503254261500 -18.2769495629800;  28.825 -2.064    ;7.5902    ;16.00     ;5.239    
670 ;* i03 Aqr                          ;Pe*;357.8389096671 -18.9091649247      ;    26.82 -4.27    ;10.23     ;12.7      ;5.18     
671 ;* 2 Cet                            ;*  ;000.9349493417 -17.3359922050      ;    25.17 -9.16    ;11.98     ;8.00      ;4.536    
672 ;* bet Cet                          ;PM*;010.89737874 -17.98660632          ;   232.55 31.99    ;33.86     ;13.257    ;2.01     
673 ;* 49 Cet                           ;PM*;023.6574111586900 -15.6763607425000;  94.351 -3.130    ;17.4725   ;10.30     ;5.607    
674 ;* pi. Cet                          ;SB*;041.0306220012 -13.8586980586      ;    -8.62 -9.07    ;8.30      ;14.98     ;4.236    
675 ;* 42 Aqr                           ;*  ;334.2001908858799 -12.8314328823600;    3.567 6.028    ;7.4283    ;11.62     ;5.333    
676 ;* 45 Aqr                           ;PM*;334.7530866458700 -13.3049927170800;  73.431 -8.823    ;9.8323    ;30.0      ;5.959    
677 ;* tau Aqr                          ;*  ;342.3979232008 -13.5926324003      ;  -13.71 -39.03    ;10.27     ;1.10      ;3.98     
678 ;* tau01 Aqr                        ;*  ;341.9282061090300 -14.0564281366400;  30.413 -9.053    ;9.1322    ;15.00     ;5.681    
679 ;* del Aqr                          ;PM*;343.6625260741300 -15.8208195652000;-34.152 -26.359    ;23.1451   ;17.40     ;3.28     
680 ;* ome02 Aqr                        ;PM*;355.6806030283 -14.5449034206      ;   99.28 -66.32    ;21.96     ;3.20      ;4.484    
