C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
658 ;* 21 Lyn                   ;* 21 Lyn                           ;111.6785494554 +49.2115251881      ;  -10.22 -49.29     ;11.92     ;26.80       ;4.610    
659 ;* gam Tau                  ;* gam Tau                          ;064.9483493712 +15.6276431728      ;  115.46 -23.42     ;20.19     ;38.458      ;3.65     
660 ;* ome Oph                  ;* ome Oph                          ;248.0341659471 -21.4663922236      ;    21.12 35.26     ;19.34     ;2.50        ;4.45     
661 ;TYC 4757-1588-2            ;* eta Ori B                        ;081.119238600 -02.397136900        ;            ~ ~     ;      ~   ;~           ;3.59     
662 ;* bet Oct                  ;* bet Oct                          ;341.5146290838 -81.3816144403      ;    -54.49 1.16     ;21.85     ;19.00       ;4.128    
663 ;* phi Eri                  ;* phi Eri                          ;034.1274401325 -51.5121654203      ;   91.03 -22.23     ;21.22     ;10.40       ;3.57     
664 ;HR 3923                    ;HD 85951                           ;148.7175187479900 -19.0093388579600;-45.386 -40.456     ;5.6789    ;50.00       ;4.94     
665 ;* 15 Lyn                   ;* 15 Lyn                           ;104.3191885867 +58.4227612319      ;   6.08 -122.83     ;18.29     ;1.28        ;4.35     
666 ;* alf Leo                  ;* alf Leo                          ;152.09296244 +11.96720878          ;   -248.73 5.59     ;41.13     ;5.9         ;1.40     
667 ;V* T Aur                   ;V* T Aur                           ;082.9963252037400 +30.4458428002900;   1.326 -6.386     ;1.194     ;50.0        ;     ~   
668 ;* bet Lup                  ;* bet Lup                          ;224.63302235 -43.13396385          ;  -35.78 -39.83     ;8.52      ;0.2         ;2.68     
669 ;* 134 Tau                  ;* 134 Tau                          ;087.3872072596 +12.6513217281      ;  -22.98 -18.22     ;13.11     ;20.50       ;4.875    
670 ;* 56 Cet                   ;* 56 Cet                           ;029.1675109188400 -22.5267846855000; 60.374 -24.635     ;7.329     ;27.38       ;4.85     
671 ;* gam01 Sgr                ;* gam01 Sgr                        ;271.2551101482100 -29.5800895062100;   4.372 -4.588     ;2.365     ;-28.04      ;4.69     
672 ;* sig Ori                  ;* sig Ori                          ;084.6865224285500 -02.6000786610800;       4.6 -0.4     ;3.04      ;29.90       ;3.79     
673 ;* 41 Cyg                   ;* 41 Cyg                           ;307.3488983833 +30.3685546603      ;     6.89 -0.87     ;4.24      ;-18.21      ;4.01     
674 ;* bet Ara                  ;* bet Ara                          ;261.3249491888263 -55.5298816877778; -8.039 -25.927     ;4.5601    ;-0.30       ;2.85     
675 ;* 58 Leo                   ;* 58 Leo                           ;165.1401964303400 +03.6174978845000; 13.868 -15.792     ;9.6348    ;5.98        ;4.838    
676 ;* ksi Gem                  ;* ksi Gem                          ;101.3223513354 +12.8955919797      ;-115.73 -190.55     ;55.56     ;27.20       ;3.36     
677 ;* del Ori                  ;* del Ori                          ;083.00166706 -00.29909511          ;     0.64 -0.69     ;4.71      ;18.50       ;2.41     
678 ;* del Dor                  ;* del Dor                          ;086.1932421104 -65.7355280828      ;    -28.91 5.17     ;21.80     ;-8.30       ;4.36     
679 ;* gam UMa                  ;* gam UMa                          ;178.4576971525 +53.6947597292      ;   107.68 11.01     ;39.21     ;-11.90      ;2.440    
680 ;* q Vel                    ;* q Vel                            ;153.6839822071 -42.1219425811      ;  -150.09 49.44     ;32.18     ;7.4         ;3.85     
681 ;* tet Gem                  ;* tet Gem                          ;103.1972452958 +33.9612548506      ;   -1.66 -47.31     ;17.25     ;21.00       ;3.60     
682 ;* zet Lep                  ;* zet Lep                          ;086.7389206612 -14.8219499842      ;   -14.54 -1.07     ;46.28     ;24.70       ;3.525    
683 ;* 7 Cam                    ;* 7 Cam                            ;074.3216503850 +53.7521015014      ;    -24.51 7.71     ;8.77      ;-7.9        ;4.433    
684 ;* gam Boo                  ;* gam Boo                          ;218.0194658183 +38.3082511861      ; -115.71 151.16     ;37.58     ;-32.40      ;3.02     
685 ;* zet Mon                  ;* zet Mon                          ;122.1485276167 -02.9837877944      ;   -18.81 -4.50     ;3.08      ;31.20       ;4.33     
686 ;* del Her                  ;* del Her                          ;258.75796074 +24.83920697          ; -21.18 -156.48     ;43.41     ;-40.0       ;3.13     
687 ;NGC 1981                   ;NGC 1981                           ;083.8480 -04.4860                  ;    1.086 0.555     ;2.544     ;27.9        ;4.2      
688 ;* ksi Col                  ;* ksi Col                          ;088.8746450870400 -37.1206831582200; 34.590 -14.688     ;10.1427   ;59.5        ;4.961    
689 ;* bet Lib                  ;* bet Lib                          ;229.25172425 -09.38291441          ;  -98.10 -19.65     ;17.62     ;-35.60      ;2.62     
690 ;* omi01 Eri                ;* omi01 Eri                        ;062.9664148333 -06.8375795522      ;    10.76 81.92     ;26.80     ;11.00       ;4.026    
691 ;* eps CMa                  ;* eps CMa                          ;104.65645315 -28.97208616          ;      3.24 1.33     ;8.05      ;27.30       ;1.50     
692 ;* alf Vir                  ;* alf Vir                          ;201.29824736 -11.16131949          ;  -42.35 -30.67     ;13.06     ;1.0         ;0.97     
693 ;HIP 37229                  ;CD-26 4707                         ;114.70779496 -26.80383873          ;   -16.64 21.28     ;9.41      ;23.60       ;     ~   
694 ;* I Pup                    ;* I Pup                            ;108.1401040633 -46.7593041422      ; -136.17 107.12     ;46.67     ;0.10        ;4.49     
695 ;* kap Tuc A                ;* kap Tuc A                        ;018.9420379295962 -68.8759448102925;413.480 116.037     ;42.9912   ;7.48        ;4.95     
696 ;* mu. Cep                  ;* mu. Cep                          ;325.8769210725 +58.7800444947      ;     5.36 -3.51     ;0.55      ;23.00       ;4.08     
697 ;* kap Ori                  ;* kap Ori                          ;086.9391201683 -09.6696049186      ;     1.46 -1.28     ;5.04      ;20.5        ;2.06     
698 ;* 31 Com                   ;* 31 Com                           ;192.9246673735999 +27.5407125046700; -12.025 -8.119     ;11.8467   ;-0.08       ;4.94     
699 ;* kap Peg                  ;* kap Peg                          ;326.16139677 +25.64503776          ;    48.13 14.29     ;29.22     ;-0.80       ;4.135    
700 ;* bet Cas                  ;* bet Cas                          ;002.29452158 +59.14978110          ; 523.50 -179.77     ;59.58     ;4.30        ;2.27     
701 ;* ups Oph                  ;* ups Oph                          ;246.9507799937 -08.3717290181      ;  -67.49 -11.75     ;24.42     ;-30.6       ;4.63     
702 ;* eps Mic                  ;* eps Mic                          ;319.4845166421 -32.1725420889      ;   54.36 -23.29     ;17.90     ;7.20        ;4.708    
703 ;* alf Col                  ;* alf Col                          ;084.9122542996 -34.0741097197      ;    1.58 -24.82     ;12.48     ;35.00       ;2.65     
704 ;* alf Cir                  ;* alf Cir                          ;220.6267482517 -64.9751370697      ;-192.53 -233.51     ;60.35     ;7.099       ;3.19     
705 ;* phi02 Ori                ;* phi02 Ori                        ;084.2266190535671 +09.2906712530075;98.301 -305.022     ;28.6722   ;99.083      ;4.09     
706 ;* eps Sct                  ;* eps Sct                          ;280.8802120917600 -08.2752126752000;   21.781 4.591     ;5.71      ;-9.80       ;4.889    
707 ;* 9 Cep                    ;* 9 Cep                            ;324.4801005810100 +62.0819417713300;  -2.007 -4.293     ;1.0251    ;-13.50      ;4.73     
708 ;* gam Peg                  ;* gam Peg                          ;003.3089634617 +15.1835935442      ;     1.98 -9.28     ;8.33      ;3.20        ;2.84     
709 ;* pi. Cas                  ;* pi. Cas                          ;010.8669570112600 +47.0245457774600;-24.570 -36.886     ;18.6293   ;12.90       ;4.949    
710 ;* psi Peg                  ;* psi Peg                          ;359.4396950296 +25.1414022133      ;  -35.24 -31.60     ;6.85      ;-6.59       ;4.66     
711 ;* del Cyg                  ;* del Cyg                          ;296.2436605888 +45.1308100183      ;    44.07 48.66     ;19.77     ;-23.60      ;2.87     
712 ;* zet01 Sco                ;* zet01 Sco                        ;253.4988630478699 -42.3620298151300;  -0.094 -3.368     ;0.5855    ;-26.00      ;4.79     
713 ;* gam Cnc                  ;* gam Cnc                          ;130.8214508296 +21.4685002203      ; -103.51 -39.48     ;18.00     ;28.7        ;4.652    
714 ;* alf Mon                  ;* alf Mon                          ;115.3118023700 -09.5511308564      ;  -74.61 -19.59     ;22.07     ;11.161      ;3.93     
715 ;* d Oph                    ;* d Oph                            ;261.8386487937 -29.8670350697      ;  17.08 -138.02     ;29.23     ;38.00       ;4.269    
716 ;* omi Cep                  ;* omi Cep                          ;349.65621622 +68.11144271          ;    54.33 10.11     ;16.06     ;-18.122     ;     ~   
717 ;* zet Cet                  ;* zet Cet                          ;027.8651306176100 -10.3350310662900; 39.752 -40.956     ;12.877    ;7.80        ;3.72     
718 ;* eta Sco                  ;* eta Sco                          ;258.0383152213 -43.2391918128      ;  24.47 -288.55     ;44.39     ;-27.0       ;3.33     
719 ;* eta Aqr                  ;* eta Aqr                          ;338.83908858 -00.11749689          ;   89.74 -55.81     ;19.43     ;-5.50       ;4.030    
720 ;* pi. Her                  ;* pi. Her                          ;258.7618098475 +36.8091623167      ;    -27.29 2.82     ;8.66      ;-25.57      ;3.18     
721 ;* eta Lyr                  ;* eta Lyr                          ;288.4395346796 +39.1459666919      ;    -0.60 -1.26     ;2.35      ;-8.1        ;4.398    
722 ;* tet Aqr                  ;* tet Aqr                          ;334.2084861858400 -07.7832887425319;118.929 -21.928     ;17.0893   ;-13.77      ;4.16     
723 ;* alf Equ                  ;* alf Equ                          ;318.9559663321 +05.2478452811      ;   59.88 -94.09     ;17.14     ;-16.26      ;3.933    
724 ;* del Pic                  ;* del Pic                          ;092.5746169863 -54.9686426192      ;     -4.90 7.41     ;2.51      ;30.6        ;4.81     
725 ;* k Hya                    ;* k Hya                            ;215.7740578132500 -27.7540172521600;-202.484 -117.094   ;19.0593   ;20.50       ;4.75     
726 ;* M Vel                    ;* M Vel                            ;144.2064168300 -49.3550244653      ;  -130.55 42.98     ;30.94     ;17.80       ;4.35     
727 ;HR 5002                    ;HD 115211                          ;199.3042207969300 -66.7834390263000; -15.346 -6.770     ;2.5221    ;-10.38      ;4.846    
728 ;* ups PsA                  ;* ups PsA                          ;332.1080471675 -34.0438402158      ;    4.55 -49.02     ;7.69      ;20.36       ;4.99     
729 ;* ksi Sco B                ;* ksi Sco B                        ;241.0922031911800 -11.3729645586800;-43.269 -18.584     ;36.117    ;-29.4       ;4.87     
730 ;* zet Phe                  ;* zet Phe                          ;017.0961729092 -55.2457580317      ;    20.87 30.64     ;10.92     ;15.40       ;4.014    
731 ;* alf Sge                  ;* alf Sge                          ;295.0241305482700 +18.0138907281900; 15.076 -20.287     ;7.6353    ;1.667       ;4.38     
732 ;* gam CMa                  ;* gam CMa                          ;105.9395543688 -15.6332861031      ;   -0.14 -11.36     ;7.38      ;32.00       ;4.12     
733 ;* kap Lyr                  ;* kap Lyr                          ;274.9654545183 +36.0645469656      ;   -16.75 41.09     ;12.96     ;-24.36      ;4.34     
734 ;* sig Oph                  ;* sig Oph                          ;261.6286697230299 +04.1403593792900;    1.459 6.760     ;3.7578    ;-27.259     ;4.31     
735 ;* 1 Peg                    ;* 1 Peg                            ;320.5216645640862 +19.8045104219344; 105.391 62.841     ;20.8482   ;-77.83      ;4.09     
736 ;* eps Gem                  ;* eps Gem                          ;100.9830260792 +25.1311254122      ;   -5.57 -12.36     ;3.86      ;7.77        ;2.98     
737 ;* bet Per                  ;* bet Per                          ;047.0422185563 +40.9556466703      ;     2.99 -1.66     ;36.27     ;4.0         ;2.12     
738 ;* G Sco                    ;* G Sco                            ;267.4645037403808 -37.0432763783039;  41.717 11.975     ;24.7340   ;24.70       ;3.21     
739 ;* psi Vir                  ;* psi Vir                          ;193.5881809067 -09.5389939675      ;  -18.08 -19.52     ;5.99      ;17.6        ;4.80     
740 ;NGC 2232                   ;NGC 2232                           ;096.8880 -04.7490                  ;-4.7737 -1.9014     ;3.0710    ;25.77       ;     ~   
741 ;* h Cen A                  ;* h Cen                            ;208.3022428738500 -31.9276195534000;-10.428 -10.710     ;4.8225    ;5.2         ;4.73     
742 ;* eps Leo                  ;* eps Leo                          ;146.4628054183 +23.7742557872      ;   -45.61 -9.21     ;13.22     ;4.322       ;2.98     
