C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
174 ;* iot01 Cyg                        ;*  ;291.8581637619100 +52.3204382687700;-12.096 -26.956     ;8.788     ;1.9        ;5.75     ;5.75     ;     ~   
175 ;* iot Cyg                          ;PM*;292.4264946683 +51.7297793972      ;   20.59 128.33     ;26.88     ;-19.5      ;3.899    ;3.755    ;     ~   
176 ;* 23 Cyg                           ;** ;298.3224089945100 +57.5234741390100;    6.036 9.787     ;5.3644    ;-31.60     ;5.001    ;5.132    ;     ~   
177 ;* 71 Dra                           ;EB*;304.9030300298200 +62.2574437656700;  13.238 19.745     ;7.8837    ;-19.4      ;5.660    ;5.709    ;     ~   
178 ;* 66 Dra                           ;PM*;301.3869914691500 +61.9954203033200; 123.312 70.696     ;18.5114   ;4.46       ;6.600    ;5.408    ;     ~   
179 ;* 68 Dra                           ;PM*;302.8952992440100 +62.0785477086900; 142.267 72.842     ;20.9232   ;-14.63     ;6.205    ;5.700    ;     ~   
180 ;* 4 Cep                            ;*  ;310.7959214136700 +66.6574473201200;  25.393 34.362     ;23.1824   ;-11.00     ;5.810    ;5.600    ;     ~   
181 ;NAME Alfirk                        ;bC*;322.1649868804 +70.5607151892      ;     12.54 8.39     ;4.76      ;-8.2       ;3.01     ;3.23     ;3.33     
182 ;* 16 Cep                           ;PM*;329.8123633640099 +73.1798950637000;-67.994 -160.076    ;27.2259   ;-21.478    ;     ~   ;     ~   ;4.8      
183 ;* 78 Dra                           ;PM*;325.7668470245900 +72.3200855358700;-43.513 -39.985     ;13.1461   ;-40.585    ;6.234    ;5.173    ;     ~   
184 ;* 11 Cep                           ;PM*;325.4804518808700 +71.3114631855300; 111.840 92.204     ;18.1808   ;-38.47     ;     ~   ;     ~   ;3.9      
185 ;* 31 Cep                           ;PM*;338.9422259748000 +73.6431855548000; 172.350 24.174     ;17.3391   ;0.1        ;     ~   ;     ~   ;4.8      
186 ;* 24 Cep                           ;*  ;332.4517944276000 +72.3412054806800;   33.041 2.809     ;8.2802    ;-16.239    ;5.707    ;4.786    ;     ~   
187 ;* pi. Cep                          ;SB*;346.97439069 +75.38749863          ;    6.81 -34.06     ;13.22     ;-18.6      ;5.21     ;4.41     ;     ~   
188 ;* pi. Cep A                        ;*  ;346.9744639009500 +75.3875108575900;  2.463 -33.829     ;12.1458   ;-26.94     ;5.57     ;4.61     ;     ~   
189 ;* 23 Cas                           ;SB*;011.9418912188300 +74.8475697892500;  15.153 -7.549     ;4.1495    ;-3.1       ;5.338    ;5.413    ;     ~   
190 ;* 21 Cas                           ;EB*;011.4128190385000 +74.9880706035200;-15.306 -22.936     ;10.6528   ;8.90       ;5.717    ;5.652    ;     ~   
191 ;* 40 Cas                           ;V* ;024.6288245976800 +73.0400382156800;-11.616 -13.641     ;7.0771    ;-5.08      ;6.256    ;5.281    ;     ~   
192 ;* 48 Cas                           ;SB*;030.48937644 +70.90702507          ;   -55.69 -8.71     ;28.36     ;-5.0       ;4.70     ;4.54     ;4.36     
193 ;* 50 Cas                           ;*  ;030.8587757542 +72.4212938186      ;   -43.57 22.30     ;20.76     ;-18.20     ;3.953    ;3.938    ;     ~   
194 ;* 3 Cam                            ;SB*;069.9778376870400 +53.0795354041500; -5.197 -16.099     ;7.7841    ;-40.50     ;6.158    ;5.073    ;     ~   
195 ;* 16 Lyr                           ;PM*;285.3599275728700 +46.9347631894900; 22.004 -80.894     ;25.7832   ;4.90       ;5.189    ;5.006    ;     ~   
196 ;* 51 Dra                           ;*  ;286.2298560008100 +53.3966557987800;  -3.947 21.402     ;9.0816    ;-24.00     ;5.37     ;5.38     ;     ~   
197 ;* kap Cyg                          ;PM*;289.2757027150 +53.3684592708      ;   60.07 122.83     ;26.27     ;-29.36     ;4.73     ;3.76     ;3.13     
198 ;* 53 Dra                           ;PM*;287.9190870874300 +56.8592055311900;  29.887 46.371     ;8.9405    ;-17.91     ;6.131    ;5.125    ;     ~   
199 ;* 54 Dra                           ;PM*;288.4796451188499 +57.7050795588100; -7.294 -73.353     ;19.3662   ;-32.42     ;6.154    ;5.003    ;     ~   
200 ;* e Dra                            ;*  ;300.3689347584199 +64.8209763292800;  9.282 -11.929     ;5.0501    ;-36.12     ;6.83     ;5.27     ;     ~   
201 ;* rho Dra                          ;PM*;300.7044695146 +67.8735637297      ;    16.44 47.31     ;7.61      ;-9.69      ;5.81     ;4.50     ;3.57     
202 ;NAME Errai                         ;SB*;354.8371267224100 +77.6323641059400;-64.860 171.159     ;72.5167   ;-43.668    ;4.250    ;     ~   ;2.6      
203 ;* 49 Cas                           ;*  ;031.3814588840500 +76.1150601248400;-11.813 -20.561     ;7.7763    ;-0.06      ;6.17     ;5.22     ;     ~   
204 ;* 4 Cam                            ;** ;072.0011371775100 +56.7571769299200;52.892 -140.618     ;18.4464   ;22.50      ;5.519    ;5.275    ;5.1      
205 ;* 48 Dra                           ;PM*;284.1876488909800 +57.8148165528400;-26.512 -61.867     ;11.3105   ;-39.28     ;6.835    ;5.663    ;     ~   
206 ;* 49 Dra                           ;*  ;285.1810685002699 +55.6583008482800; -10.845 -7.530     ;6.0379    ;7.88       ;6.368    ;5.513    ;     ~   
207 ;* pi. Dra                          ;*  ;290.1670555483 +65.7145304217      ;    15.09 41.12     ;14.25     ;-28.10     ;4.61     ;4.59     ;4.55     
208 ;* 73 Dra                           ;a2*;307.8766945669800 +74.9546260726300;  7.257 -17.260     ;8.5789    ;10.60      ;5.271    ;5.185    ;     ~   
209 ;* 77 Dra                           ;*  ;316.3719404360299 +78.1263914357600;  19.630 29.018     ;7.3807    ;-22.50     ;5.828    ;5.907    ;     ~   
210 ;* rho01 Cep                        ;** ;336.6768097201600 +78.7858732572500;-18.440 -48.707     ;16.2606   ;-6.00      ;6.000    ;5.840    ;     ~   
211 ;* rho Cep                          ;*  ;337.4707415215900 +78.8242866757200;  3.543 -20.840     ;13.6037   ;2.80       ;5.540    ;5.460    ;     ~   
212 ;* 47 Cas                           ;PM*;031.2809342804 +77.2813400550      ;  139.92 -47.79     ;30.16     ;-20.30     ;5.590    ;5.268    ;     ~   
213 ;* gam Cam                          ;*  ;057.5896204846 +71.3322634700      ;   18.17 -42.85     ;9.09      ;0.20       ;4.655    ;4.604    ;     ~   
214 ;* 5 Cam                            ;*  ;073.7630450180200 +55.2591270608200;-13.821 -11.766     ;4.2455    ;2.4        ;5.530    ;5.520    ;     ~   
215 ;* 7 Cam                            ;SB*;074.3216503850 +53.7521015014      ;    -24.51 7.71     ;8.77      ;-7.9       ;4.416    ;4.433    ;     ~   
216 ;* 9 Aur                            ;gD*;076.6692941803700 +51.5977219440900;-28.557 -171.822    ;37.0551   ;-0.90      ;     ~   ;     ~   ;4.8      
217 ;NAME Capella                       ;SB*;079.17232794 +45.99799147          ;  75.25 -426.89     ;76.20     ;29.19      ;0.88     ;0.08     ;-0.52    
218 ;* c Dra                            ;SB*;280.6581379154 +55.5394564967      ;    -3.01 23.02     ;9.58      ;-30.0      ;4.943    ;5.026    ;     ~   
219 ;* omi Dra                          ;RS*;282.8003931018900 +59.3883501472600;  79.097 26.328     ;9.5709    ;-38.190    ;5.798    ;4.636    ;     ~   
220 ;NAME Altais                        ;PM*;288.1387581854 +67.6615404392      ;    95.74 91.92     ;33.48     ;24.818     ;4.07     ;3.07     ;2.37     
221 ;NAME Alsafi                        ;PM*;293.0899592077504 +69.6611766125572;597.384 -1738.286   ;173.4939  ;26.734     ;5.460    ;4.680    ;4.04     
222 ;* kap Cep                          ;*  ;302.2222864370300 +77.7114209860200;  11.228 24.615     ;10.1788   ;-22.8      ;4.35     ;4.40     ;     ~   
223 ;* alf Cam                          ;s*b;073.5125433263 +66.3426767964      ;     -0.13 6.89     ;0.52      ;10         ;4.34     ;4.29     ;4.18     
224 ;* bet Cam                          ;*  ;075.8545401287 +60.4422470908      ;   -6.50 -14.15     ;3.74      ;-0.56      ;4.95     ;4.02     ;3.33     
225 ;* 11 Cam                           ;Be*;076.5352197161400 +58.9723731174500;  -6.264 -7.118     ;4.7543    ;-11.00     ;5.00     ;5.08     ;     ~   
226 ;* 16 Cam                           ;PM*;080.8660111447100 +57.5443992073000; 15.017 -54.469     ;9.2929    ;12.00      ;5.230    ;5.250    ;     ~   
227 ;* d Dra                            ;*  ;278.1438441388600 +57.0455960482300;   0.068 -7.961     ;1.02      ;-12.32     ;5.380    ;4.761    ;     ~   
228 ;NAME Fafnir                        ;PM*;276.4964040005700 +65.5634809288300;105.816 -26.846     ;11.056    ;31.79      ;6.005    ;4.823    ;     ~   
229 ;* ups Dra                          ;SB*;283.5993828255600 +71.2971962653700;  50.280 42.736     ;8.6601    ;-11.10     ;5.964    ;4.814    ;     ~   
230 ;* tau Dra                          ;PM*;288.8874387506500 +73.3555217541800;-129.430 93.738     ;21.6734   ;-33.70     ;5.70     ;4.45     ;3.55     
231 ;* 50 Dra                           ;SB*;281.5926744861200 +75.4339555621800; -17.061 70.391     ;11.415    ;-7.8       ;5.409    ;5.358    ;     ~   
232 ;* 59 Dra                           ;PM*;287.2911727526200 +76.5605038387800;52.390 -119.469     ;36.5363   ;-4.90      ;5.400    ;5.107    ;     ~   
233 ;* 74 Dra                           ;PM*;307.3648462836600 +81.0912761383700; 66.190 221.144     ;15.6244   ;-14.60     ;6.88     ;     ~   ;5.4      
234 ;* 76 Dra                           ;V* ;310.6468171735900 +82.5311569710000;  29.552 20.789     ;9.5214    ;-20.00     ;5.740    ;5.750    ;     ~   
235 ;* 75 Dra                           ;*  ;307.0607658882500 +81.4227082685100;  32.763 16.039     ;7.5038    ;-4.30      ;6.379    ;5.368    ;     ~   
236 ;* 2 UMi                            ;PM*;017.1870002175 +86.2570899931      ;   80.65 -11.54     ;11.64     ;8.36       ;5.459    ;4.225    ;     ~   
237 ;* 17 Cam                           ;V* ;082.5425135326500 +63.0672191886400;  -5.602 -4.754     ;3.0424    ;-20.49     ;7.092    ;5.407    ;     ~   
238 ;* omi Aur                          ;*  ;086.4751748258900 +49.8262710439900;  -11.087 3.703     ;8.1876    ;-7.70      ;5.495    ;5.460    ;     ~   
239 ;* 36 Dra                           ;PM*;273.4743033607241 +64.3972849333867; 352.918 35.572     ;43.1837   ;-36.026    ;5.407    ;4.987    ;4.8      
240 ;* 37 Dra                           ;PM*;273.8211896342300 +68.7558172460600; 16.617 -63.174     ;11.9152   ;-12.07     ;7.022    ;5.953    ;     ~   
241 ;* phi Dra                          ;a2*;275.18930101 +71.33781941          ;    -5.03 37.86     ;10.77     ;-16        ;4.15     ;4.22     ;     ~   
242 ;* chi Dra                          ;SB*;275.26409395 +72.73284772          ; 531.21 -349.71     ;124.11    ;31.90      ;4.070    ;3.580    ;3.14     
243 ;* 40 Dra                           ;SB*;270.0147018366300 +80.0008467230500; 48.428 131.872     ;22.4338   ;5.76       ;6.447    ;5.939    ;     ~   
244 ;* 41 Dra                           ;SB*;270.0382571149600 +80.0041131544600; 47.507 117.895     ;21.3102   ;5.84       ;6.132    ;5.642    ;     ~   
245 ;NAME Lodestar                      ;cC*;037.95456067 +89.26410897          ;   44.48 -11.85     ;7.54      ;-16.42     ;2.62     ;2.02     ;1.53     
246 ;* 31 Cam                           ;EB*;088.7409423662000 +59.8883686548400;  0.831 -17.625     ;7.2008    ;-2.9       ;5.200    ;5.200    ;     ~   
247 ;* 26 Cam                           ;PM*;086.6266243987900 +56.1155756833300; 19.542 -58.818     ;16.8232   ;21.00      ;6.073    ;5.927    ;     ~   
248 ;* ksi Aur                          ;*  ;088.7115289053300 +55.7069667084600;  -7.049 12.959     ;13.3702   ;-11.8      ;5.005    ;4.960    ;     ~   
249 ;* del Aur                          ;SB*;089.8817434141460 +54.2847379628627;85.814 -142.928     ;23.0557   ;9.75       ;4.730    ;3.720    ;2.95     
250 ;* pi. Aur                          ;LP*;089.9837413585500 +45.9367349160100;  -3.755 -7.785     ;4.5154    ;0.71       ;5.97     ;4.25     ;2.56     
251 ;* 30 Dra                           ;** ;267.2677988732500 +50.7810701320300;-42.370 203.597     ;15.3858   ;-54.8      ;5.04     ;     ~   ;5.0      
252 ;NAME Eltanin                       ;*  ;269.15154118 +51.48889562          ;   -8.48 -22.79     ;21.14     ;-27.91     ;3.760    ;2.230    ;1.08     
253 ;NAME Grumium                       ;PM*;268.3822067642 +56.8726428506      ;    93.82 78.50     ;28.98     ;-26.46     ;4.93     ;3.75     ;2.92     
254 ;* f Dra                            ;PM*;262.9911298304400 +68.1350252214800;-12.689 132.600     ;14.6653   ;-74.57     ;6.135    ;5.074    ;     ~   
255 ;* ome Dra                          ;SB*;264.2378929486479 +68.7579670927683;  1.690 321.452     ;42.0939   ;-13.98     ;5.23     ;     ~   ;4.5      
256 ;NAME Dziban                        ;SB*;265.4835932089400 +72.1488687827700;88.254 -271.791     ;43.95     ;-13.30     ;4.98     ;4.55     ;4.3      
257 ;* psi01 Dra B                      ;PM*;265.4920968238599 +72.1569015636400;34.067 -276.438     ;44.0496   ;-10.85     ;6.04     ;5.53     ;5.2      
258 ;* psi02 Dra                        ;*  ;268.7964671709700 +72.0051260829300;   8.805 -2.580     ;3.4438    ;-2.00      ;5.750    ;5.430    ;     ~   
259 ;* 35 Dra                           ;PM*;267.3626348622399 +76.9628792611000; 36.895 247.313     ;31.5877   ;-24.58     ;5.53     ;     ~   ;4.7      
260 ;* eps UMi                          ;RS*;251.4926816843900 +82.0372582842900;   18.925 2.423     ;9.8637    ;-10.57     ;5.109    ;4.212    ;     ~   
261 ;NAME Yildun                        ;PM*;263.0541529529 +86.5864606603      ;    10.17 53.97     ;18.95     ;-7.6       ;4.367    ;4.336    ;     ~   
262 ;* 24 UMi                           ;PM*;262.6982894928200 +86.9680475679600;   55.291 9.667     ;20.716    ;1.2        ;5.981    ;5.756    ;     ~   
263 ;* 36 Cam                           ;*  ;093.2127606120000 +65.7184211025700;  6.240 -31.308     ;4.5905    ;1.15       ;6.694    ;5.344    ;     ~   
264 ;* 1 Lyn                            ;LP?;094.4784128017 +61.5152847431      ;   -10.59 -3.11     ;5.11      ;11.56      ;6.89     ;5.05     ;     ~   
265 ;* 40 Cam                           ;*  ;093.9189030344100 +59.9989646873700; 26.588 -21.648     ;4.9142    ;8.56       ;6.703    ;5.351    ;     ~   
266 ;* 37 Cam                           ;*  ;092.4958896545200 +58.9356929115000;  16.787 18.619     ;7.3457    ;30.92      ;6.450    ;5.355    ;     ~   
267 ;* 36 Aur                           ;a2*;090.2440090488200 +47.9019248737900;  4.261 -21.088     ;3.1546    ;16.4       ;5.694    ;5.706    ;     ~   
268 ;* iot Her                          ;bC*;264.8661920254 +46.0063333639      ;     -7.48 4.53     ;7.17      ;-18.90     ;3.630    ;3.800    ;     ~   
269 ;* y Her                            ;PM*;264.1568904174900 +48.5856325818000;  31.680 62.880     ;9.1191    ;26.61      ;6.503    ;5.353    ;     ~   
270 ;* nu.01 Dra                        ;PM*;263.0440343771000 +55.1842451528800; 148.040 54.194     ;33.2097   ;-15.20     ;     ~   ;     ~   ;4.7      
271 ;* nu.02 Dra                        ;SB*;263.0668438464700 +55.1729181291500; 144.339 59.585     ;33.4187   ;-16.00     ;     ~   ;     ~   ;4.7      
272 ;* 26 Dra                           ;SB*;263.74830681 +61.87455571          ; 277.02 -524.88     ;70.47     ;-15.00     ;5.830    ;     ~   ;4.8      
273 ;* 43 Cam                           ;*  ;103.4260344550600 +68.8883110069500;    4.870 7.705     ;3.5172    ;-21.00     ;4.975    ;5.096    ;     ~   
274 ;* 42 Cam                           ;*  ;102.7378712200600 +67.5719342231200;    0.704 4.757     ;4.1676    ;3.20       ;4.961    ;5.122    ;     ~   
275 ;* 2 Lyn                            ;EB*;094.9057690812 +59.0109634094      ;    -5.35 23.86     ;20.83     ;-2.00      ;4.462    ;4.434    ;     ~   
276 ;* 8 Lyn                            ;RG*;099.4224398056833 +61.4812355615972;-208.592 -273.420   ;19.8541   ;-50.27     ;6.83     ;     ~   ;5.4      
277 ;* 5 Lyn                            ;*  ;096.7036345972600 +58.4174080228800;  -6.518 -1.714     ;5.2233    ;-4.47      ;6.734    ;5.197    ;     ~   
278 ;* 6 Lyn                            ;PM*;097.6962816256121 +58.1626332824703;-30.691 -338.612    ;18.2183   ;39.65      ;6.798    ;5.855    ;6.95     
279 ;* 45 Aur                           ;SB*;095.4422095960600 +53.4521774007900; 22.597 -88.884     ;16.2503   ;-0.40      ;5.774    ;5.333    ;     ~   
280 ;* psi01 Aur                        ;s*r;096.2245897925400 +49.2878920061000;  -0.155 -2.131     ;0.4426    ;4.40       ;6.67     ;4.75     ;3.36     
281 ;* x Her                            ;*  ;261.6843415927200 +48.2600615554600;  -0.338 -4.407     ;8.1272    ;-9.00      ;5.960    ;5.830    ;     ~   
282 ;NAME Rastaban                      ;*  ;262.6081737329 +52.3013887086      ;   -15.89 12.28     ;8.58      ;-20.825    ;3.79     ;2.81     ;2.12     
283 ;* h Dra                            ;SB*;254.0070385346 +65.1347953164      ;   237.79 50.84     ;65.54     ;-21.00     ;5.37     ;     ~   ;4.6      
284 ;NAME Aldhibah                      ;** ;257.1966498433 +65.7146842733      ;   -20.43 19.61     ;9.93      ;-17.70     ;3.06     ;3.17     ;3.23     
285 ;* 19 UMi                           ;*  ;242.7063518319199 +75.8775618146400;  -1.213 13.033     ;5.6273    ;-0.9       ;5.370    ;5.473    ;     ~   
286 ;* eta UMi                          ;PM*;244.3761260456899 +75.7553430783900;-77.647 245.726     ;33.419    ;-11.00     ;5.32     ;     ~   ;4.7      
287 ;* zet UMi                          ;V* ;236.0146621467 +77.7944941236      ;    19.91 -1.99     ;8.84      ;-13.10     ;4.316    ;4.274    ;     ~   
288 ;* tet UMi                          ;V* ;232.8538067097200 +77.3493599610900;  -44.146 8.051     ;4.0798    ;-25.49     ;6.535    ;4.982    ;     ~   
289 ;* 14 Lyn                           ;** ;103.2710352437 +59.4485421914      ;  -11.94 -46.32     ;6.70      ;16.10      ;6.03     ;5.38     ;     ~   
290 ;* 11 Lyn                           ;*  ;099.4099463976100 +56.8575303163100;  -10.972 9.911     ;8.4941    ;0.4        ;5.890    ;5.890    ;     ~   
