C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
1053;* sig Hya  ;* sig Hya                          ;*  ;08 38 45.4374649 +03 20 29.170097      ;  -19.48 -15.92    ; 6.91 
1054;* sig Hyi  ;* sig Hyi                          ;PM*;01 55 50.5499442082 -78 20 54.766232184;   103.13 53.57    ;     ~
1055;* sig Leo  ;* sig Leo                          ;PM*;11 21 08.1934932 +06 01 45.570945      ;  -92.97 -11.48    ;     ~
1056;V* sig Lib ;* sig Lib                          ;LP*;15 04 04.2160765 -25 16 55.060636      ;  -71.16 -43.34    ; 6.86 
1057;* sig Lup  ;* sig Lup                          ;El*;14 32 37.0566690 -50 27 25.774609      ;  -29.26 -15.72    ; 3.39 
1058;V* sig Oct ;* sig Oct                          ;dS*;21 08 46.8434241415 -88 57 23.411695274;   26.671 5.612    ;     ~
1059;* sig Oph  ;* sig Oph                          ;V* ;17 26 30.8805999537 +04 08 25.287576783;    1.583 7.133    ; 7.39 
1060;* sig Ori  ;* sig Ori                          ;Y*O;05 38 44.7665260139 -02 36 00.284709290;       4.6 -0.4    ; 2.54 
1061;* sig Pav  ;* sig Pav                          ;HB*;20 49 18.1714801197 -68 46 35.471527640;-64.110 -49.951    ;     ~
1062;* sig Peg  ;* sig Peg                          ;PM*;22 52 24.0744611045 +09 50 08.394417666; 521.513 43.776    ;     ~
1063;* sig Per  ;* sig Per                          ;V* ;03 30 34.4872784580 +47 59 42.780422381;   2.724 18.847    ; 7.25 
1064;* sig Phe  ;* sig Phe                          ;*  ;23 47 15.9970144927 -50 13 35.252950570;  9.148 -23.147    ;     ~
1065;* sig Psc  ;* sig Psc                          ;SB*;01 02 49.0968844875 +31 48 15.348372764; 15.077 -31.279    ; 5.27 
1066;V* sig Pup ;* sig Pup                          ;SB*;07 29 13.8304917 -43 18 05.159662      ;  -59.55 188.31    ; 6.54 
1067;* sig Sgr  ;* sig Sgr                          ;** ;18 55 15.92650 -26 17 48.2068          ;   15.14 -53.43    ; 1.06 
1068;V* sig Sco ;* sig Sco                          ;bC*;16 21 11.3157134 -25 35 34.051476      ;  -10.60 -16.28    ; 2.32 
1069;* sig Scl  ;* sig Scl                          ;a2*;01 02 26.4335649704 -31 33 07.211017259;  79.583 14.234    ;     ~
1070;* sig Ser  ;* sig Ser                          ;PM*;16 22 04.3482463818 +01 01 44.548439598;-158.181 51.152    ;     ~
1071;* sig UMa  ;* sig UMa                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
1072;* sig Vir  ;* sig Vir                          ;V* ;13 17 36.2832672 +05 28 11.522114      ;     -6.06 9.14    ; 8.42 
1073;* tau And  ;* tau And                          ;V* ;01 40 34.8164511 +40 34 37.374230      ;   15.99 -23.76    ; 4.44 
1074;* tau Aqr  ;* tau Aqr                          ;*  ;22 49 35.5015682 -13 35 33.476641      ;  -13.71 -39.03    ; 7.51 
1075;* tau Aql  ;* tau Aql                          ;*  ;20 04 08.3150583434 +07 16 40.670512848;  14.039 12.141    ;     ~
1076;* tau Ari  ;* tau01 Ari                        ;EB*;03 21 13.6235710930 +21 08 49.460894275; 26.574 -21.335    ; 4.68 
1077;* tau Aur  ;* tau Aur                          ;*  ;05 49 10.4382558 +39 10 51.862703      ;  -28.30 -24.97    ; 6.160
1078;* tau Boo  ;* tau Boo                          ;Ro*;13 47 15.7381720026 +17 27 24.809555600;-468.923 63.469    ; 5.02 
1079;* tau Cnc  ;* tau Cnc                          ;*  ;09 08 00.0500170491 +29 39 15.246123668;  -32.108 1.972    ;     ~
1080;V* tau CMa ;* tau CMa                          ;EB*;07 18 42.4864191 -24 57 15.741299      ;     -2.31 5.02    ; 3.26 
1081;* tau Cap  ;* tau Cap                          ;** ;20 39 16.31779 -14 57 17.1352          ;    2.62 -19.46    ;     ~
1082;* tau Cas  ;* tau Cas                          ;PM*;23 47 03.4547470384 +58 39 07.153067168;  60.213 57.777    ;     ~
1083;* tau Cen  ;* tau Cen                          ;PM*;12 37 42.1634721166 -48 32 28.709954610;-185.656 -6.057    ; 3.94 
1084;* tau Cet  ;* tau Cet                          ;PM*;01 44 04.0831371922 -15 56 14.927607677;-1721.728 854.963  ; 4.43 
1085;* tau CrB  ;* tau CrB                          ;PM*;16 08 58.3089242491 +36 29 27.134047440;-59.431 332.280    ; 6.64 
1086;V* tau Cyg ;* tau Cyg                          ;dS*;21 14 47.49252 +38 02 43.1441          ;  196.99 410.28    ; 4.140
1087;* tau Dra  ;* tau Dra                          ;PM*;19 15 32.9788792685 +73 21 19.872611829;-127.604 94.023    ; 7.15 
1088;* tau For  ;* tau For                          ;*  ;03 38 47.6715356130 -27 56 34.993799511;  20.986 26.456    ;     ~
1089;* tau Gem  ;* tau Gem                          ;PM*;07 11 08.3703137689 +30 14 42.589571474;-30.725 -48.515    ; 7.08 
1090;V* tau Her ;* tau Her                          ;Pu*;16 19 44.43666 +46 18 48.1123          ;   -13.33 38.48    ; 3.190
1091;* tau Leo  ;* tau Leo                          ;*  ;11 27 56.2400660284 +02 51 22.562494014; 16.358 -11.330    ;     ~
1092;* tau Lib  ;* tau Lib                          ;SB*;15 38 39.3694957 -29 46 39.895604      ;  -22.08 -24.46    ;     ~
1093;* tau Oct  ;* tau Oct                          ;*  ;23 28 03.7853475400 -87 28 55.969935000;  16.781 12.191    ;     ~
1094;* tau Oph  ;* tau Oph                          ;** ;18 03 04.91992 -08 10 49.2586          ;   15.78 -37.79    ; 5.22 
1095;* tau Ori  ;* tau Ori                          ;*  ;05 17 36.3885646 -06 50 39.870187      ;   -17.61 -9.24    ; 3.01 
1096;* tau Pav  ;* tau Pav                          ;*  ;19 16 28.6108219509 -69 11 26.976958330;  7.206 -30.022    ;     ~
1097;V* tau Peg ;* tau Peg                          ;dS*;23 20 38.2439836933 +23 44 25.272919327;  38.252 -2.192    ;     ~
1098;* tau Per  ;* tau Per                          ;EB*;02 54 15.4684102508 +52 45 44.885218477;  -2.872 -2.739    ; 5.17 
1099;* tau Phe  ;* tau Phe                          ;*  ;00 01 04.5828261595 -48 48 35.552573765; -17.474 -6.016    ;     ~
1100;* tau Psc  ;* tau Psc                          ;PM*;01 11 39.6190694402 +30 05 22.700985590; 71.806 -26.991    ;     ~
1101;* tau PsA  ;* tau PsA                          ;PM*;22 10 08.7801946925 -32 32 54.270294310; 428.832 13.475    ;     ~
1102;* tau Pup  ;* tau Pup                          ;SB*;06 49 56.1684595 -50 36 52.443676      ;   34.36 -69.11    ;     ~
1103;* tau Sgr  ;* tau Sgr                          ;PM*;19 06 56.4052936935 -27 40 13.609432896;-54.850 -246.012   ; 5.65 
1104;* tau Sco  ;* tau Sco                          ;*  ;16 35 52.9528530 -28 12 57.661515      ;   -9.89 -22.83    ; 1.55 
1105;* tau Scl  ;* tau Scl                          ;** ;01 36 08.4955228656 -29 54 26.293804713; 127.157 34.772    ;     ~
1106;* tau Tau  ;* tau Tau                          ;SB*;04 42 14.6926362488 +22 57 24.894510556;   -2.89 -21.86    ;     ~
1107;* tau UMa  ;* tau UMa                          ;SB*;09 10 55.0404694887 +63 30 49.064336279;105.526 -60.017    ;     ~
1108;* tau Vir  ;* tau Vir                          ;*  ;14 01 38.7934143 +01 32 40.314540      ;   17.49 -21.27    ;     ~
1109;* ups And  ;* ups And                          ;PM*;01 36 47.8415443907 +41 24 19.651368029;-171.892 -381.815  ; 4.70 
1110;* ups Aqr  ;* ups Aqr                          ;PM*;22 34 41.6367033191 -20 42 29.574530725;220.383 -147.225   ;     ~
1111;* ups Aql  ;* ups Aql                          ;PM*;19 45 39.9473195457 +07 36 47.362634532;   53.492 0.021    ; 6.18 
1112;* ups Aur  ;* ups Aur                          ;PM*;05 51 02.4380435197 +37 18 20.058136105; 35.914 -46.100    ; 8.29 
1113;* ups Boo  ;* ups Boo                          ;PM*;13 49 28.6407858 +15 47 52.460283      ;   -94.22 41.07    ; 7.46 
1114;* ups Cap  ;* ups Cap                          ;V* ;20 40 02.9451823684 -18 08 19.166393121;-23.503 -22.157    ; 8.75 
1115;* ups Car  ;* ups Car                          ;*  ;09 47 06.12170 -65 04 19.2267          ;    -11.51 4.71    ;     ~
1116;* ups Cas  ;* ups Cas                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
1117;* ups Cep  ;* ups Cep                          ;SB*;20 45 21.1287886 +57 34 47.007968      ; -62.32 -236.00    ;     ~
1118;* ups Cet  ;* ups Cet                          ;PM*;02 00 00.3091617 -21 04 40.194571      ;  134.92 -24.59    ; 7.45 
1119;* ups CrB  ;* ups CrB                          ;V* ;16 16 44.7873296074 +29 09 00.939913758; 23.474 -16.644    ;     ~
1120;* ups Cyg  ;* ups Cyg                          ;Be*;21 17 55.0870156081 +34 53 48.769974820;   4.822 -2.079    ; 3.50 
1121;* ups Dra  ;* ups Dra                          ;SB*;18 54 23.8581525607 +71 17 49.855620827;  48.367 46.008    ;     ~
1122;* ups Gem  ;* ups Gem                          ;PM*;07 35 55.3506173748 +26 53 44.711452380;-33.396 -108.045   ; 7.54 
1123;* ups Gru  ;* ups Gru                          ;** ;23 06 53.6278255555 -38 53 32.190657006;   32.105 2.473    ;     ~
1124;V* ups Her ;V* ups Her                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
1125;* ups Her  ;* ups Her                          ;PM*;16 02 47.8971148667 +46 02 12.129177551; 55.950 -61.183    ; 4.33 
1126;* ups Leo  ;* ups Leo                          ;*  ;11 36 56.9308590 -00 49 25.496304      ;     1.76 43.37    ; 6.05 
1127;* ups Lib  ;* ups Lib                          ;** ;15 37 01.4501996 -28 08 06.292648      ;   -12.82 -4.15    ;     ~
1128;* ups Lup  ;* ups Lup                          ;PM*;15 24 45.0085489 -39 42 36.952395      ;  -26.10 -54.77    ;     ~
1129;* ups Oct  ;* ups Oct                          ;PM*;22 31 37.5145050142 -85 58 02.107583350; -37.508 61.259    ;     ~
1130;* ups Oph  ;* ups Oph                          ;SB*;16 27 48.1871985 -08 22 18.224465      ;  -67.49 -11.75    ;     ~
1131;* ups Ori  ;* ups Ori                          ;V* ;05 31 55.8601879 -07 18 05.537157      ;    -0.10 -4.87    ; 3.30 
1132;* ups Pav  ;* ups Pav                          ;*  ;20 41 57.0758915005 -66 45 38.449922662;  9.328 -23.224    ;     ~
1133;* ups Peg  ;* ups Peg                          ;PM*;23 25 22.7828725585 +23 24 14.762916815; 191.856 36.183    ; 5.15 
1134;* ups Per  ;* ups Per                          ;PM*;01 37 59.5569926 +48 37 41.569533      ;  61.95 -112.15    ; 6.29 
1135;* ups Phe  ;* ups Phe                          ;** ;01 07 47.8428874889 -41 29 12.716002027;   38.900 6.829    ;     ~
1136;* ups Psc  ;* ups Psc                          ;*  ;01 19 27.9928886 +27 15 50.615529      ;   22.98 -11.12    ;     ~
1137;* ups PsA  ;* ups PsA                          ;*  ;22 08 25.9313202 -34 02 37.824777      ;    4.55 -49.02    ; 8.28 
1138;* ups Sgr  ;* ups Sgr                          ;Be*;19 21 43.6228354 -15 57 18.062473      ;     1.34 -6.25    ; 4.18 
1139;* ups Sco  ;* ups Sco                          ;*  ;17 30 45.8371228 -37 17 44.928511      ;   -2.37 -30.09    ; 1.64 
1140;* ups Ser  ;* ups Ser                          ;PM*;15 47 17.3130889275 +14 06 55.487987228; -56.115 32.995    ;     ~
1141;* ups Tau  ;* ups Tau                          ;dS*;04 26 18.4636760 +22 48 48.888498      ;  108.81 -46.80    ;     ~
1142;V* ups UMa ;* ups UMa                          ;dS*;09 50 59.3580562703 +59 02 19.441043584;-294.441 -151.663  ; 4.19 
1143;* ups Vir  ;* ups Vir                          ;PM*;14 19 32.4801543933 -02 15 55.864300715;-119.191 -71.164   ; 7.01 
1144;* phi And  ;* phi And                          ;Be*;01 09 30.12562 +47 14 30.4594          ;    4.05 -12.43    ; 3.84 
1145;* phi Aqr  ;* phi Aqr                          ;SB*;23 14 19.3596471948 -06 02 56.398606998;35.391 -196.862    ; 7.64 
1146;* phi Aql  ;* phi Aql                          ;SB*;19 56 14.2518307537 +11 25 25.393114620;   32.826 6.162    ;     ~
1147;* phi Aur  ;* phi Aur                          ;*  ;05 27 38.8841718309 +34 28 33.163878294; -1.324 -38.746    ;     ~
1148;* phi Boo  ;* phi Boo                          ;PM*;15 37 49.5981378821 +40 21 12.361532024;  61.319 60.009    ;     ~
1149;* phi Cap  ;* phi Cap                          ;*  ;21 15 37.8992741396 -20 39 06.112574008;  14.070 -2.057    ;     ~
1150;* phi Cas  ;* phi Cas                          ;s*y;01 20 04.9146181556 +58 13 53.812633124;  -0.516 -1.556    ; 6.15 
1151;* phi Cen  ;* phi Cen                          ;V* ;13 58 16.2668006 -42 06 02.714311      ;  -22.77 -20.13    ; 2.79 
1152;* phi Cyg  ;* phi Cyg                          ;SB*;19 39 22.6060058861 +30 09 11.944875887;   1.467 36.661    ;     ~
1153;V* phi Dra ;* phi Dra                          ;a2*;18 20 45.43224 +71 20 16.1499          ;    -5.03 37.86    ;     ~
1154;* phi Eri  ;* phi Eri                          ;PM*;02 16 30.5856318 -51 30 43.795513      ;   91.03 -22.23    ; 3.06 
1155;* phi For  ;* phi For                          ;*  ;02 28 01.7034840409 -33 48 39.738227012;   18.526 5.163    ;     ~
1156;* phi Gem  ;* phi Gem                          ;*  ;07 53 29.8166075896 +26 45 56.847983468;-34.936 -32.865    ;     ~
1157;* phi Gru  ;* phi Gru                          ;PM*;23 18 09.8846645019 -40 49 27.703375843;126.920 -122.577   ;     ~
1158;V* phi Her ;* phi Her                          ;a2*;16 08 46.1668803916 +44 56 05.732213070; -18.950 32.270    ; 3.92 
1159;* phi Hya  ;* phi Hya                          ;SB*;10 38 34.9474422215 -16 52 35.568712507; -95.287 20.693    ;     ~
1160;* phi Leo  ;* phi Leo                          ;PM*;11 16 39.6995972 -03 39 05.777018      ; -110.37 -37.16    ;     ~
1161;* phi Oct  ;* phi Oct                          ;*  ;18 23 36.4489563457 -75 02 39.392103359;   4.573 19.406    ;     ~
1162;* phi Oph  ;* phi Oph                          ;PM*;16 31 08.3673228 -16 36 45.830632      ;  -45.35 -37.34    ; 5.90 
1163;* phi Peg  ;* phi Peg                          ;LP*;23 52 29.2879094272 +19 07 13.015696522; -7.037 -34.238    ; 8.54 
1164;* phi Per  ;* phi Per                          ;Be*;01 43 39.6379209 +50 41 19.432832      ;   24.59 -14.01    ; 3.10 
1165;* phi Phe  ;* phi Phe                          ;SB*;01 54 22.0336599051 -42 29 48.942723263;-34.768 -30.061    ;     ~
1166;* phi Psc  ;* phi Psc                          ;SB*;01 13 44.9461741568 +24 35 01.324900643; 16.901 -21.415    ; 6.57 
1167;* phi Sgr  ;* phi Sgr                          ;PM*;18 45 39.3861043 -26 59 26.794441      ;     50.61 1.22    ; 2.69 
1168;* phi Ser  ;* phi Ser                          ;PM*;15 57 14.5711519307 +14 24 52.131809991;-122.856 87.222    ;     ~
1169;* phi Tau  ;* phi Tau                          ;PM*;04 20 21.2169453021 +27 21 02.718203359;-28.679 -77.775    ;     ~
1170;* phi UMa  ;* phi UMa                          ;** ;09 52 06.35437 +54 03 51.5962          ;    -6.00 19.16    ;     ~
1171;* phi Vel  ;* phi Vel                          ;*  ;09 56 51.7416742 -54 34 04.039043      ;    -13.08 3.55    ; 2.81 
1172;* phi Vir  ;* phi Vir                          ;PM*;14 28 12.1387305861 -02 13 40.648944384;-138.522 -3.346    ;     ~
1173;* chi And  ;* chi And                          ;SB*;01 39 20.9882801730 +44 23 10.199584793; -13.187 10.603    ;     ~
1174;* chi Aqr  ;* chi Aqr                          ;LP*;23 16 50.9391613 -07 43 35.402266      ;  -19.18 -14.10    ; 8.26 
1175;* chi Aql  ;* chi Aql                          ;** ;19 42 34.00828 +11 49 35.7023          ;    1.75 -10.11    ; 5.880
1176;* chi Aur  ;* chi Aur                          ;SB*;05 32 43.6731178 +32 11 31.275310      ;    -1.52 -4.33    ; 4.68 
1177;* chi Boo  ;* chi Boo                          ;PM*;15 14 29.1589654770 +29 09 51.462989394; -69.688 28.940    ;     ~
1178;* chi Cnc  ;* chi Cnc                          ;PM*;08 20 03.8607602556 +27 13 03.738171893;-17.475 -377.072   ;     ~
1179;* chi CMa  ;* chi CMa                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
1180;* chi Cap  ;* chi Cap                          ;PM*;21 08 33.6245641296 -21 11 37.225376062; 19.326 -59.429    ;     ~
1181;V* chi Car ;* chi Car                          ;bC*;07 56 46.7232212143 -52 58 56.394323256; -33.179 20.331    ; 2.64 
1182;* chi Cas  ;* chi Cas                          ;*  ;01 33 55.8803462403 +59 13 55.387594638;-43.589 -18.127    ;     ~
1183;* chi Cen  ;* chi Cen                          ;bC*;14 06 02.7682446 -41 10 46.678780      ;  -22.90 -21.69    ; 3.4  
1184;* chi Cet  ;* chi Cet                          ;PM*;01 49 35.1031601 -10 41 11.067376      ; -148.11 -93.43    ; 5.04 
1185;V* chi Cyg ;* chi Cyg                          ;S* ;19 50 33.9243904 +32 54 50.609683      ;  -20.16 -38.34    ; 7.02 
1186;* chi Dra  ;* chi Dra                          ;SB*;18 21 03.38255 +72 43 58.2518          ; 531.21 -349.71    ; 4.010
1187;* chi Eri  ;* chi Eri                          ;PM*;01 55 57.4597664541 -51 36 31.959325912;680.110 294.318    ;     ~
1188;* chi Gem  ;* chi Gem                          ;SB*;08 03 31.0961924098 +27 47 39.703492909;-29.270 -48.899    ;     ~
1189;* chi Her  ;* chi Her                          ;PM*;15 52 40.5410491705 +42 27 05.462878877;438.839 629.541    ; 5.19 
1190;* chi Leo  ;* chi Leo                          ;PM*;11 05 01.0278085241 +07 20 09.624129314;-345.034 -46.986   ;     ~
1191;* chi Lup  ;* chi Lup                          ;SB*;15 50 57.5382881 -33 37 37.795321      ;   -5.10 -24.85    ; 3.77 
1192;* chi Oct  ;* chi Oct                          ;PM*;18 54 47.1397744586 -87 36 21.043403361;-36.519 -135.219   ;     ~
1193;V* chi Oph ;* chi Oph                          ;Be*;16 27 01.4349892 -18 27 22.493784      ;   -5.41 -21.12    ; 3.95 
1194;* chi Ori  ;* chi Ori                          ;err;No Coord.                              ;            ~ ~    ;     ~
1195;* chi Peg  ;* chi Peg                          ;PM*;00 14 36.1642825005 +20 12 24.130377664;   91.831 1.152    ; 8.280
1196;* chi Per  ;* chi Per                          ;*  ;02 18 04.5844857610 +57 30 58.757945030; -13.359 -1.240    ;     ~
1197;* chi Phe  ;* chi Phe                          ;PM*;02 01 42.3769730947 -44 42 48.626974441;-31.825 -47.771    ; 8.45 
1198;* chi Psc  ;* chi Psc                          ;*  ;01 11 27.2187720 +21 02 04.740561      ;   39.32 -10.48    ;     ~
1199;* chi PsA  ;* chi PsA                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
1200;* chi Pup  ;* chi Pup                          ;V* ;07 57 40.1067801759 -30 20 04.449063033;   -8.643 6.055    ; 5.10 
1201;* chi Sgr  ;* chi Sgr                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
1202;* chi Sco  ;* chi Sco                          ;*  ;16 13 50.9069224118 -11 50 15.905491351;  -5.630 -9.062    ;     ~
1203;* chi Scl  ;* ksi Scl                          ;PM*;01 01 18.2754785432 -38 54 59.503302928;  66.892 49.891    ;     ~
1204;* chi Ser  ;* chi Ser                          ;a2*;15 41 47.4144147194 +12 50 51.093592464;    38.42 -3.76    ; 5.42 
1205;* chi Tau  ;* chi Tau                          ;SB*;04 22 34.9435236779 +25 37 45.528896965; 20.953 -16.495    ;     ~
1206;* chi UMa  ;* chi UMa                          ;PM*;11 46 03.0140741 +47 46 45.862653      ;  -138.29 28.57    ; 6.06 
1207;* chi Vir  ;* chi Vir                          ;** ;12 39 14.7669232892 -07 59 44.041075962;-77.129 -23.967    ;     ~
1208;* psi And  ;* psi And                          ;** ;23 46 02.0469653187 +46 25 12.972436405;   8.419 -6.191    ;     ~
1209;* psi Aql  ;* psi Aql                          ;*  ;19 44 34.1908566941 +13 18 10.006302990;   0.561 -9.950    ;     ~
1210;* psi Boo  ;* psi Boo                          ;PM*;15 04 26.7429936414 +26 56 51.531466661;-174.734 -4.866    ; 7.12 
1211;* psi Cnc  ;* psi Cnc                          ;PM*;08 10 27.1808613475 +25 30 26.402130723;-72.954 -347.888   ;     ~
1212;* psi Cap  ;* psi Cap                          ;PM*;20 46 05.7326265 -25 16 15.231155      ; -51.96 -156.56    ;     ~
1213;* psi Cas  ;* psi Cas                          ;PM*;01 25 56.0223813 +68 07 48.045998      ;    75.50 26.93    ;     ~
1214;* psi Cen  ;* psi Cen                          ;PM*;14 20 33.4322870 -37 53 07.055140      ;  -63.69 -10.65    ; 3.91 
1215;* psi Crt  ;* psi Crt                          ;** ;11 12 30.37188 -18 29 59.4995          ;  -20.48 -24.80    ;     ~
1216;* psi Cyg  ;* psi Cyg                          ;SB*;19 55 37.7879400302 +52 26 20.139603026;-36.660 -25.299    ;     ~
1217;* psi Dra  ;* psi01 Dra                        ;** ;17 41 57.0 +72 09 10                   ;            ~ ~    ; 5.02 
1218;* psi Eri  ;* psi Eri                          ;*  ;05 01 26.3459959 -07 10 26.266203      ;      1.71 6.29    ; 3.87 
1219;* psi For  ;* psi For                          ;PM*;02 53 34.3969474442 -38 26 13.206183112;  58.193 35.241    ;     ~
1220;* psi Hya  ;* psi Hya                          ;*  ;13 09 03.2643950577 -23 07 04.964898634;-19.079 -45.679    ;     ~
1221;* psi Leo  ;* psi Leo                          ;V* ;09 43 43.9061242418 +14 01 18.142863185;     5.81 -4.80    ; 8.93 
1222;* psi Oct  ;* psi Oct                          ;*  ;22 17 50.5941344721 -77 30 41.599187989; -37.125 13.832    ;     ~
1223;* psi Oph  ;* psi Oph                          ;PM*;16 24 06.1846427 -20 02 14.378421      ;  -20.29 -47.65    ; 6.37 
1224;* psi Ori  ;* psi02 Ori                        ;bC*;05 26 50.2291316549 +03 05 44.417664333;   1.195 -0.770    ; 3.45 
1225;* psi Peg  ;* psi Peg                          ;** ;23 57 45.5268071 +25 08 29.047968      ;  -35.24 -31.60    ; 7.91 
1226;V* psi Per ;* psi Per                          ;Be*;03 36 29.3798227 +48 11 33.478941      ;   22.55 -27.78    ; 3.60 
1227;V* psi Phe ;* psi Phe                          ;LP*;01 53 38.7410337 -46 18 09.604795      ;  -93.16 -91.17    ; 7.71 
1228;* psi Psc  ;* psi Psc                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
1229;* psi Sgr  ;* psi Sgr                          ;SB*;19 15 32.4265759 -25 15 24.056854      ;   45.50 -31.08    ;     ~
1230;* psi Sco  ;* psi Sco                          ;*  ;16 12 00.0104347630 -10 03 50.835285121;-18.000 -36.188    ;     ~
1231;* psi Ser  ;* psi Ser                          ;PM*;15 44 01.8189306784 +02 30 54.600773948;-42.787 -136.857   ;     ~
1232;* psi Tau  ;* psi Tau                          ;PM*;04 07 00.4569690568 +29 00 04.708418391;    -91.40 7.58    ;     ~
1233;* psi UMa  ;* psi UMa                          ;PM*;11 09 39.8086764 +44 29 54.552050      ;  -62.02 -27.41    ; 5.27 
1234;* psi Vel  ;* psi Vel                          ;** ;09 30 41.99958 -40 28 00.2616          ;  -147.98 61.35    ; 3.89 
1235;* psi Vir  ;* psi Vir                          ;LP*;12 54 21.1634176 -09 32 20.378283      ;  -18.08 -19.52    ; 7.94 
1236;* ome And  ;* ome And                          ;** ;01 27 39.3807155195 +45 24 24.065127426;357.564 -110.039   ; 5.25 
1237;* ome Aur  ;* ome Aur                          ;PM*;04 59 15.4103801091 +37 53 24.885401640; 44.531 -97.943    ;     ~
1238;* ome Boo  ;* ome Boo                          ;*  ;15 02 06.5086200004 +25 00 29.278223486; -5.206 -47.799    ; 8.14 
1239;* ome Cnc  ;* ome Cnc                          ;*  ;08 00 55.8730456399 +25 23 34.215973929;   16.563 7.102    ;     ~
1240;V* ome CMa ;* ome CMa                          ;Be*;07 14 48.6538664 -26 46 21.609714      ;    -11.88 6.87    ; 2.90 
1241;* ome Cap  ;* ome Cap                          ;V* ;20 51 49.2909479855 -26 55 08.891176687;  -9.261 -1.598    ; 7.66 
1242;* ome Car  ;* ome Car                          ;Be*;10 13 44.2173938 -70 02 16.456305      ;    -36.01 7.09    ; 2.92 
1243;* ome Cas  ;* ome Cas                          ;SB*;01 56 00.0269593959 +68 41 06.867072713; 15.550 -10.535    ;     ~
1244;* ome Cen  ;NGC 5139                           ;GlC;13 26 47.28 -47 28 46.1                ;    -3.24 -6.73    ;     ~
1245;* ome Dra  ;* ome Dra                          ;SB*;17 36 57.0943076755 +68 45 28.681533966;  1.690 321.452    ;     ~
1246;* ome Eri  ;* ome Eri                          ;SB*;04 52 53.6699535 -05 27 09.697201      ;   -17.86 25.57    ;     ~
1247;* ome For  ;* ome For                          ;*  ;02 33 50.7008117219 -28 13 56.389038738; -13.290 -5.532    ; 4.7  
1248;V* ome Gem ;* ome Gem                          ;Ce*;07 02 24.7802014306 +24 12 55.607808445;  -7.207 -0.509    ;     ~
1249;* ome Her  ;* ome Her                          ;a2*;16 25 24.9552430446 +14 01 59.755120883; 38.156 -59.086    ; 4.53 
1250;* ome Hya  ;* ome Hya                          ;*  ;09 05 58.3691395258 +05 05 32.374754769; -20.778 -9.634    ;     ~
1251;* ome Leo  ;* ome Leo                          ;SB*;09 28 27.39861 +09 03 24.4255          ;     36.98 5.78    ;     ~
1252;* ome Lup  ;* ome Lup                          ;PM*;15 38 03.2037165 -42 34 02.444371      ;  -149.80 57.37    ; 7.47 
1253;* ome Oct  ;* ome Oct                          ;*  ;15 11 08.7980161026 -84 47 16.014388442;  2.500 -10.346    ;     ~
1254;* ome Oph  ;* ome Oph                          ;a2*;16 32 08.1998273 -21 27 59.012005      ;    21.12 35.26    ; 4.69 
1255;* ome Ori  ;* ome Ori                          ;Be*;05 39 11.1463172 +04 07 17.279475      ;      0.84 0.00    ; 3.73 
1256;* ome Pav  ;* ome Pav                          ;PM*;18 58 36.4483714404 -60 12 01.991511383;-126.045 33.655    ; 7.95 
1257;* ome Per  ;* ome Per                          ;*  ;03 11 17.3816089 +39 36 41.701398      ;    -26.26 5.40    ;     ~
1258;* ome Phe  ;* ome Phe                          ;*  ;01 02 01.8203344363 -57 00 08.596842831;   6.055 17.388    ;     ~
1259;* ome Psc  ;* ome Psc                          ;SB*;23 59 18.6906375 +06 51 47.956190      ; 150.35 -112.12    ;     ~
1260;* ome Sgr  ;* ome Sgr                          ;SB*;19 55 50.3625499909 -26 17 57.693299065;   209.41 62.39    ;     ~
1261;* ome Sco  ;* ome Sco                          ;bC*;16 06 48.4269211 -20 40 09.090235      ;   -8.98 -23.48    ; 3.10 
1262;* ome Ser  ;* ome Ser                          ;PM*;15 50 17.5464926986 +02 11 47.439052415; 30.598 -48.052    ;     ~
1263;* ome Tau  ;* ome02 Tau                        ;PM*;04 17 15.6624066480 +20 34 42.949211995;-41.560 -59.415    ;     ~
1264;* ome UMa  ;* ome UMa                          ;SB*;10 53 58.7425934970 +43 11 23.845298512; 42.818 -23.606    ;     ~
1265;* ome Vir  ;* ome Vir                          ;LP*;11 38 27.6072679 +08 08 03.466343      ;     -3.89 5.30    ; 8.46 
1266;* C01 Cen  ;* C01 Cen                          ;LP*;11 35 13.2813376689 -47 22 21.288761350; -87.503 -6.988    ;     ~
1267;* C02 Cen  ;* C02 Cen                          ;PM*;11 35 55.5845235883 -47 38 29.900883491; 33.897 -49.629    ;     ~
1268;* C03 Cen  ;* C03 Cen                          ;PM*;11 37 33.9883300969 -47 44 50.234281560; -68.956 16.362    ;     ~
