C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
4095;NGC  4363  ;NGC 4363                           ;G  ;185.8692 +74.9514                  ;            ~ ~   ;      ~  ;1424         ;     ~   
4096;NGC  4364  ;NGC 4364                           ;GiG;186.0085384052499 +58.3851862499500;            ~ ~   ;      ~  ;4442         ;     ~   
4097;NGC  4365  ;NGC 4365                           ;GiG;186.117617 +07.317519              ;            ~ ~   ;      ~  ;-66          ;     ~   
4098;NGC  4366  ;NGC 4366                           ;GiG;186.1958650876300 +07.3530295496800;  -0.106 -0.584   ;      ~  ;1271         ;     ~   
4099;NGC  4369  ;NGC 4369                           ;GiG;186.150850 +39.382981              ;            ~ ~   ;      ~  ;1044         ;     ~   
4100;NGC  4370  ;NGC 4370                           ;GiG;186.228883 +07.444567              ;            ~ ~   ;      ~  ;778          ;13.84    
4101;NGC  4371  ;NGC 4371                           ;GiG;186.2309723248999 +11.7042067354400;            ~ ~   ;      ~  ;940          ;10.81    
4102;NGC  4372  ;NGC 4372                           ;GlC;186.43929 -72.65908                ;     -6.38 3.33   ;0.1405   ;75.59        ;9.85     
4103;NGC  4373  ;NGC 4373                           ;GiG;186.3242432146500 -39.7597903385200;            ~ ~   ;      ~  ;3383         ;11.05    
4104;NGC  4374  ;M 84                               ;Sy2;186.26559721 +12.88698314          ;-0.08289 -0.05116 ;      ~  ;979          ;10.49    
4105;NGC  4375  ;NGC 4375                           ;Sy2;186.2519736808499 +28.5586026194100;            ~ ~   ;      ~  ;8903         ;     ~   
4106;NGC  4376  ;NGC 4376                           ;GiG;186.3250663083200 +05.7411480858300;            ~ ~   ;      ~  ;1138         ;     ~   
4107;NGC  4377  ;NGC 4377                           ;GiG;186.3013813271799 +14.7621697455600;            ~ ~   ;      ~  ;1405         ;     ~   
4108;NGC  4378  ;NGC 4378                           ;Sy2;186.3254267775299 +04.9251348876000;            ~ ~   ;      ~  ;2557         ;13.49    
4109;NGC  4379  ;NGC 4379                           ;GiG;186.3114411491100 +15.6074319651600;   0.895 -0.683   ;      ~  ;1032         ;11.72    
4110;NGC  4380  ;NGC 4380                           ;BLL;186.342408 +10.016706              ;            ~ ~   ;      ~  ;963          ;     ~   
4111;NGC  4382  ;M 85                               ;GiP;186.350221 +18.191081              ;            ~ ~   ;      ~  ;769          ;     ~   
4112;NGC  4383  ;NGC 4383                           ;AGN;186.356325 +16.470006              ;            ~ ~   ;      ~  ;1708         ;12.12    
4113;NGC  4384  ;NGC 4384                           ;EmG;186.300050 +54.506131              ;            ~ ~   ;      ~  ;2511         ;     ~   
4114;NGC  4385  ;NGC 4385                           ;AGN;186.4283749795299 +00.5725772615700;            ~ ~   ;      ~  ;2144.8       ;14.12    
4115;NGC  4386  ;NGC 4386                           ;GiG;186.1182841613900 +75.5289740573100;  -0.381 -0.607   ;      ~  ;1711         ;     ~   
4116;NGC  4387  ;NGC 4387                           ;GiG;186.4236535351100 +12.8105012822100;            ~ ~   ;      ~  ;548          ;12.12    
4117;NGC  4388  ;NGC 4388                           ;Sy2;186.445083 +12.662069              ;            ~ ~   ;      ~  ;2515         ;11.02    
4118;NGC  4389  ;NGC 4389                           ;GiG;186.396242 +45.684669              ;            ~ ~   ;      ~  ;713          ;     ~   
4119;NGC  4390  ;NGC 4390                           ;GiG;186.4611082764400 +10.4590305514300;            ~ ~   ;      ~  ;1101         ;     ~   
4120;NGC  4391  ;NGC 4391                           ;GiG;186.3282835461799 +64.9334768829600;  -0.211 -0.327   ;      ~  ;1319         ;     ~   
4121;NGC  4392  ;NGC 4392                           ;GiG;186.3290072405499 +45.8474838045500;            ~ ~   ;      ~  ;7185         ;     ~   
4122;NGC  4393  ;NGC 4393                           ;GiG;186.4638504362100 +27.5607910023600;            ~ ~   ;      ~  ;747          ;     ~   
4123;NGC  4394  ;NGC 4394                           ;GiP;186.4818192970300 +18.2139196410100;            ~ ~   ;      ~  ;915          ;     ~   
4124;NGC  4395  ;NGC 4395                           ;Sy2;186.4535971291199 +33.5468611578200;   -2.667 0.697   ;      ~  ;316          ;10.11    
4125;NGC  4396  ;NGC 4396                           ;GiG;186.495008 +15.671467              ;            ~ ~   ;      ~  ;-122         ;12.58    
4126;NGC  4397  ;NGC 4397                           ;** ;186.49200 +18.30089                ;            ~ ~   ;      ~  ;~            ;     ~   
4127;NGC  4399  ;NGC 4399                           ;PoG;186.4283 +33.5161                  ;            ~ ~   ;      ~  ;~            ;     ~   
4128;NGC  4400  ;NGC 4400                           ;PoG;186.4833 +33.5150                  ;            ~ ~   ;      ~  ;~            ;     ~   
4129;NGC  4401  ;NGC 4401                           ;PoG;186.48987 +33.52836                ;            ~ ~   ;      ~  ;294          ;     ~   
4130;NGC  4402  ;NGC 4402                           ;GiP;186.53188800 +13.11331600          ;            ~ ~   ;      ~  ;230          ;     ~   
4131;NGC  4403  ;NGC 4403                           ;GiG;186.5532967813100 -07.6848825479400;            ~ ~   ;      ~  ;5155         ;     ~   
4132;NGC  4404  ;NGC 4404                           ;LIN;186.5674821001700 -07.6808415121800;            ~ ~   ;      ~  ;5450         ;     ~   
4133;NGC  4405  ;NGC 4405                           ;H2G;186.5297383964700 +16.1809948826400;    2.681 1.751   ;      ~  ;1723         ;     ~   
4134;NGC  4406  ;NAME FAUST V051                    ;GiG;186.549225 +12.945969              ;            ~ ~   ;      ~  ;-302         ;8.90     
4135;NGC  4407  ;NGC 4413                           ;GiP;186.6342964107799 +12.6106740153000;    0.131 0.120   ;0.6622   ;103          ;12.25    
4136;NGC  4408  ;NGC 4408                           ;GiC;186.5718336558800 +27.8711551530300;            ~ ~   ;      ~  ;7427         ;     ~   
4137;NGC  4409  ;NGC 4420                           ;GiG;186.7434868927799 +02.4943682635500;   -0.560 0.844   ;0.8031   ;1689         ;     ~   
4138;NGC  4410  ;NGC 4410                           ;LIN;186.6178944362399 +09.0198612555600;            ~ ~   ;      ~  ;7422         ;13.20    
4139;NGC  4411  ;NGC 4411                           ;GiP;186.624412 +08.872245              ;            ~ ~   ;      ~  ;1278         ;     ~   
4140;NGC  4412  ;NGC 4412                           ;Sy2;186.6503429581800 +03.9646976082700;    1.659 0.849   ;      ~  ;2294         ;     ~   
4141;NGC  4414  ;NGC 4414                           ;GiG;186.6130320388199 +31.2235072795800;            ~ ~   ;      ~  ;714          ;10.12    
4142;NGC  4415  ;NGC 4415                           ;GiG;186.6686843799500 +08.4357209043000;   0.786 -1.051   ;0.4016   ;907          ;     ~   
4143;NGC  4416  ;NGC 4416                           ;GiG;186.69468696 +07.91901389          ;            ~ ~   ;      ~  ;1390         ;     ~   
4144;NGC  4417  ;NGC 4417                           ;GiP;186.7108685050700 +09.5842650468900;            ~ ~   ;      ~  ;846          ;     ~   
4145;NGC  4419  ;NGC 4419                           ;LIN;186.7352105402999 +15.0474135648300;            ~ ~   ;      ~  ;-275         ;11.16    
4146;NGC  4421  ;NGC 4421                           ;GiG;186.7605571102099 +15.4614921324000;   -0.160 0.060   ;0.0311   ;1549         ;11.60    
4147;NGC  4422  ;NGC 4422                           ;GiG;186.8004472135100 -05.8309170014600;            ~ ~   ;      ~  ;7506         ;     ~   
4148;NGC  4423  ;NGC 4423                           ;GiG;186.787383 +05.880225              ;            ~ ~   ;      ~  ;1120         ;     ~   
4149;NGC  4424  ;NGC 4424                           ;H2G;186.7982255148399 +09.4206473482500;            ~ ~   ;      ~  ;437          ;     ~   
4150;NGC  4425  ;NGC 4425                           ;GiG;186.8055673910800 +12.7347752073200;            ~ ~   ;      ~  ;1895         ;11.83    
4151;NGC  4427  ;NGC 4426                           ;** ;186.7937 +27.8383                  ;            ~ ~   ;      ~  ;~            ;     ~   
4152;NGC  4428  ;NGC 4428                           ;EmG;186.867933 -08.167894              ;            ~ ~   ;      ~  ;2954         ;     ~   
4153;NGC  4429  ;NGC 4429                           ;GiG;186.8604333343500 +11.1076635465600;  -0.259 -0.671   ;      ~  ;1125         ;     ~   
4154;NGC  4430  ;NGC 4430                           ;GiP;186.8600251372799 +06.2627702157400;   0.870 -0.429   ;0.1004   ;1449         ;     ~   
4155;NGC  4431  ;NGC 4431                           ;GiP;186.8640906339800 +12.2902893207800;            ~ ~   ;      ~  ;788          ;12.89    
4156;NGC  4432  ;NGC 4432                           ;GiP;186.887312 +06.233200              ;            ~ ~   ;      ~  ;6332         ;     ~   
4157;NGC  4433  ;NGC 4433                           ;GiP;186.910875 -08.278450              ;            ~ ~   ;      ~  ;2985.9       ;     ~   
4158;NGC  4434  ;NGC 4434                           ;GiG;186.9028215258800 +08.1543445019100;   0.570 -0.872   ;0.2037   ;1067         ;     ~   
4159;NGC  4435  ;NGC 4435                           ;GiG;186.918762 +13.079022              ;            ~ ~   ;      ~  ;839          ;10.80    
4160;NGC  4436  ;NGC 4436                           ;GiP;186.9218098900699 +12.3158870781400;    0.802 0.672   ;      ~  ;1113         ;12.98    
4161;NGC  4437  ;NGC 4517                           ;AGN;188.189942 +00.115039              ;            ~ ~   ;      ~  ;1133.6       ;     ~   
4162;NGC  4438  ;NAME Eyes                          ;LIN;186.9402939556399 +13.0088078045500;            ~ ~   ;      ~  ;104          ;10.17    
4163;NGC  4439  ;NGC 4439                           ;OpC;187.1190 -60.0970                  ;  -7.089 -0.413   ;0.474    ;~            ;     ~   
4164;NGC  4440  ;NGC 4440                           ;GiG;186.9731928881699 +12.2932747130200;            ~ ~   ;      ~  ;724          ;11.72    
4165;NGC  4441  ;NGC 4441                           ;GiG;186.835008 +64.801567              ;            ~ ~   ;      ~  ;2650         ;     ~   
4166;NGC  4442  ;NGC 4442                           ;GiG;187.0161730492800 +09.8037295895200;   -1.540 0.438   ;0.0768   ;351          ;     ~   
4167;NGC  4443  ;NGC 4461                           ;GiP;187.262542 +13.183856              ;            ~ ~   ;      ~  ;1918         ;11.19    
4168;NGC  4444  ;NGC 4444                           ;G  ;187.1517376556099 -43.2617110816700;  -0.317 -0.213   ;0.3315   ;2914.9       ;     ~   
4169;NGC  4445  ;NGC 4445                           ;GiG;187.0665690687200 +09.4364003940700;  -1.386 -0.475   ;1.9229   ;353          ;     ~   
4170;NGC  4446  ;NGC 4446                           ;GiC;187.0282925010799 +13.9117668196300;            ~ ~   ;      ~  ;7220         ;     ~   
4171;NGC  4447  ;NGC 4447                           ;LIN;187.0521994883299 +13.8992185302100;            ~ ~   ;      ~  ;7085         ;     ~   
4172;NGC  4448  ;NGC 4448                           ;H2G;187.064283 +28.620300              ;            ~ ~   ;      ~  ;657          ;     ~   
4173;NGC  4449  ;NGC 4449                           ;EmG;187.046325 +44.093558              ;            ~ ~   ;      ~  ;204          ;9.64     
4174;NGC  4450  ;NGC 4450                           ;LIN;187.1232961058400 +17.0849933644500;  -0.203 -0.207   ;0.1309   ;1955         ;10.08    
4175;NGC  4451  ;NGC 4451                           ;GiG;187.168992 +09.258925              ;            ~ ~   ;      ~  ;858          ;     ~   
4176;NGC  4452  ;NGC 4452                           ;GiG;187.1804084777299 +11.7550560629700;            ~ ~   ;      ~  ;162          ;11.98    
4177;NGC  4453  ;NGC 4453                           ;G  ;187.195238 +06.511919              ;            ~ ~   ;      ~  ;11562        ;     ~   
4178;NGC  4454  ;NGC 4454                           ;GiP;187.2114320105100 -01.9391867423100;    0.154 0.585   ;0.145    ;2336         ;11.87    
4179;NGC  4455  ;NGC 4455                           ;EmG;187.1838508335200 +22.8204272665300;   0.668 -1.854   ;0.7444   ;643          ;     ~   
4180;NGC  4456  ;NGC 4456                           ;EmG;186.9683088358000 -30.0975370634000;            ~ ~   ;      ~  ;6085         ;     ~   
4181;NGC  4457  ;NGC 4457                           ;LIN;187.2459385329999 +03.5706154324800;            ~ ~   ;      ~  ;885          ;     ~   
4182;NGC  4458  ;NGC 4458                           ;GiP;187.2398391409300 +13.2419295959100;   -0.451 1.413   ;      ~  ;674          ;12.07    
4183;NGC  4459  ;NGC 4459                           ;H2G;187.2501374605900 +13.9785629453700;  -0.013 -0.745   ;0.7053   ;1196         ;     ~   
4184;NGC  4460  ;NGC 4460                           ;H2G;187.189821 +44.864236              ;            ~ ~   ;      ~  ;504          ;     ~   
4185;NGC  4462  ;NGC 4462                           ;G  ;187.3380514440700 -23.1666716428300;            ~ ~   ;      ~  ;1817         ;11.54    
4186;NGC  4463  ;NGC 4463                           ;OpC;187.4660 -64.8000                  ;  -5.326 -0.435   ;0.523    ;-24.5        ;7.2      
4187;NGC  4464  ;NGC 4464                           ;GiG;187.3387240843200 +08.1566132248100;    0.185 0.245   ;0.2497   ;1270         ;     ~   
4188;NGC  4465  ;NGC 4465                           ;GiG;187.348067 +08.026008              ;            ~ ~   ;      ~  ;7363         ;     ~   
4189;NGC  4466  ;NGC 4466                           ;GiG;187.377369 +07.696424              ;            ~ ~   ;      ~  ;759          ;     ~   
4190;NGC  4467  ;NGC 4467                           ;GiG;187.3760197403200 +07.9928537142600;            ~ ~   ;      ~  ;1388         ;     ~   
4191;NGC  4468  ;NGC 4468                           ;GiG;187.3787179934700 +14.0490777285700;   -0.005 0.332   ;0.0697   ;895          ;     ~   
4192;NGC  4469  ;NGC 4469                           ;GiG;187.366654 +08.750175              ;            ~ ~   ;      ~  ;539          ;     ~   
4193;NGC  4470  ;NGC 4470                           ;H2G;187.4075278930700 +07.8242456728400;    0.402 0.069   ;      ~  ;2339         ;     ~   
4194;NGC  4471  ;NGC 4471                           ;G  ;187.4043766545300 +07.9327416025700;            ~ ~   ;      ~  ;871          ;15.92    
4195;NGC  4472  ;M 49                               ;Sy2;187.444992 +08.000411              ;            ~ ~   ;      ~  ;949          ;12.17    
4196;NGC  4473  ;NGC 4473                           ;GiG;187.453658 +13.429319              ;            ~ ~   ;      ~  ;2329         ;10.20    
4197;NGC  4474  ;NGC 4474                           ;GiG;187.4730819739200 +14.0685782523900;   0.243 -0.396   ;      ~  ;1513         ;     ~   
4198;NGC  4475  ;NGC 4475                           ;EmG;187.4482192472000 +27.2433271728000;            ~ ~   ;      ~  ;7296         ;     ~   
4199;NGC  4476  ;NGC 4476                           ;GiG;187.4961554060299 +12.3486922787400;  -0.208 -0.919   ;      ~  ;1963         ;12.19    
